Complexity,Loss,Equation
1,0.024084274,"1.0105468"
4,0.023987375,"cos(-0.0028841426 / x0)"
5,0.023449156,"cos(exp(x0 + -9.066986))"
6,0.023175081,"exp(sin(exp(x0 + -10.225202)))"
7,0.023137948,"exp(sin(sin(exp(x0 + -10.22403))))"
8,0.02304957,"exp(sin(exp(x0 + -10.227628))) + 0.01139824"
9,0.023017436,"exp(sin(sin(exp(x0 + -10.225214)))) + 0.010971491"
10,0.022987936,"exp(sin(exp(x0 + -10.225201))) + (0.00087696314 / x0)"
11,0.022934424,"exp(sin(exp(x0 + -10.225201))) + (0.00087696314 / sin(x0))"
12,0.022715887,"cos(-0.47455272 / (((x0 + 0.2666675) * (x0 + -11.654917)) * 16.039305))"
14,0.022512455,"cos(-0.5782683 / ((x0 + -11.65443) * ((x0 - -0.27254418) * 16.037617))) * 1.0136232"
16,0.022473963,"1.0136232 * cos((2.0991917 * x0) / ((-0.27254418 - x0) * ((-11.65443 + x0) * 16.037617)))"
18,0.022453107,"cos(((x0 + x0) / ((x0 + -11.65442) * ((-0.27274752 - x0) * 16.037619))) * 1.0992651) * 1.0136251"
21,0.022414844,"cos(sin(((x0 + (x0 + 0.26499677)) + x0) / ((x0 + 0.27069026) * ((x0 + -11.656021) * 16.041815)))) - -0.013944777"
