Complexity,Loss,Equation
1,0.2121451,"0.5623446"
3,0.17233299,"skew * 0.077332474"
4,0.17032453,"cos(6.3199153 / skew)"
5,0.1585314,"cos(peak_count / exp(rms))"
6,0.15385872,"cos(sin(peak_count) / exp(rms))"
7,0.15009381,"sin(cos(sin(peak_count) / exp(rms)))"
8,0.14861256,"sin(cos(rms * (peak_count / exp(rms))))"
9,0.13538145,"cos(peak_count * (rms / exp(rms))) + -0.15949209"
10,0.13092439,"sin(abs(cos((rms * peak_count) * 3.244663) * 2.3177307))"
11,0.13023302,"sin(sin(abs(cos(rms * (peak_count * 3.244238)) * 2.3177385)))"
12,0.11961587,"sin(abs(cos((peak_count * (2.3352442 - rms)) * rms) * 2.2040987))"
13,0.11338786,"sin(abs(cos((rms * peak_count) * (2.3318596 - rms)) * log(skew)))"
14,0.11004866,"abs(sin(cos((rms * (rms - 2.3273003)) * peak_count) * -2.2102075)) + -0.098619096"
15,0.10997196,"abs(0.10048254 - sin(abs(cos(peak_count * (rms * (2.3279464 - rms))) * -2.2118723)))"
16,0.106532976,"(-0.7621257 / skew) - sin(abs(cos(rms * ((2.3268704 - rms) * peak_count))) * -2.257464)"
20,0.10636649,"((abs(sin(cos(((rms - 2.3286984) * rms) * peak_count) * 2.3195243)) - (std / skew)) - 0.9237986) + kurt"
21,0.10536863,"abs(sin(-2.2696183 * cos((peak_count * (2.3299668 - rms)) * rms))) - abs((peak_count - -1.4662433) * (-0.73350567 / skew))"
22,0.105086386,"((kurt + abs(sin(cos((rms * (rms - 2.3286984)) * peak_count) * 2.3195243))) - (std / (skew * 0.81208706))) - 0.9237986"
23,0.10506864,"(kurt + (abs(sin(cos(peak_count * ((rms - 2.3286984) * rms)) * -2.3062837)) - (std / abs(skew * -0.81208706)))) - 0.9237986"
24,0.10447971,"abs(((abs(sin(cos(((rms - 2.327482) * rms) * peak_count) * 2.2810202)) - (std / abs(skew * -0.6379056))) - 0.87117666) + kurt)"
26,0.1044797,"abs(((sin(abs(cos(((2.327482 - rms) * rms) * peak_count) * 2.2810202)) - (std / abs(skew * -0.6379056))) - 0.87117666) + kurt) * kurt"
