Complexity,Loss,Equation
1,0.17971109,"peak_std"
2,0.15916204,"cos(peak_mean)"
3,0.15860593,"1.5044262 - peak_mean"
4,0.1459469,"sin(peak_std * 1.4907924)"
6,0.13648486,"sin(peak_std * (1.1602225 - skew))"
7,0.13196188,"sin(peak_std - (skew * sin(peak_std)))"
8,0.1273617,"sin(((peak_std * 1.7531202) - skew) - 0.6563517)"
9,0.12657923,"sin((peak_std * 1.6021917) + sin(-0.5963753 - skew))"
10,0.12260963,"sin((peak_std * 1.9440644) - ((peak_mean * skew) + 0.7448824))"
11,0.12220991,"sin(peak_std - (skew - sin((skew * kurt) / 0.120783255)))"
12,0.10483372,"sin(peak_std - sin(skew - sin(skew * (kurt / 0.120699696))))"
13,0.10267729,"sin(peak_std - sin(sin(skew - sin((skew * kurt) / 0.12069879))))"
14,0.09756754,"sin(((peak_std * 1.6390418) - skew) - abs(cos(kurt * (skew / 0.19521146))))"
15,0.095656,"abs(sin(((peak_std * 1.6805009) - skew) - abs(cos((skew * kurt) / 0.1908906))))"
16,0.09266853,"sin(((peak_std * 1.6163043) - skew) - abs(cos((skew / (0.21532282 / kurt)) + 0.26803386)))"
17,0.092373684,"abs(sin(abs(cos(((skew / 0.21532282) * kurt) + 0.26803386)) - ((peak_std * 1.6163043) - skew)))"
18,0.09098811,"sin((((0.31576008 - skew) - abs(cos((kurt * (skew / 0.2042469)) + 0.37576047))) * peak_mean) + peak_std)"
19,0.09027046,"sin(sin(((peak_std * 1.4473963) - skew) - abs(cos((skew * (kurt / 0.21493693)) + 0.3955701)))) + 0.1501976"
20,0.08629528,"sin(((peak_mean * ((0.23353693 - skew) - abs(cos((skew * (kurt / 0.2031394)) + 0.35262117)))) + peak_std) * 1.3090324)"
21,0.084749565,"sin(abs((peak_std + (((0.12925477 - skew) - abs(cos(((skew / 0.24751852) * kurt) + 0.5873387))) * peak_mean)) * 1.3528838))"
22,0.083069,"sin((peak_std + ((((prom_mean * 0.11539504) - skew) - abs(cos((skew * (kurt / 0.20304558)) + 0.40187654))) * peak_mean)) * 1.4285798)"
23,0.08183495,"abs(sin((((((prom_mean * 0.07196312) - skew) - abs(cos((skew * (kurt / 0.24755219)) + 0.62419564))) * peak_mean) + peak_std) * 1.3968192))"
25,0.081301756,"sin(abs((peak_std + (peak_mean * (((-0.0810534 - abs(cos((kurt * (skew / 0.24756132)) + 0.6331886))) + (prom_mean * 0.109866664)) - skew))) * 1.4228356))"
26,0.08080839,"sin(abs(abs(-1.4997661 * ((peak_mean * (((prom_mean * 0.07196312) - skew) - abs(cos(((skew / 0.24755219) * kurt) + 0.62419564)))) + peak_std)) + -0.047737785))"
27,0.074382834,"sin(abs(1.4283313 * (peak_std + (((-3.1570272 / peak_count) + (((prom_mean * 0.33093283) - abs(cos(((kurt * skew) / 0.24812573) + 0.60544527))) - skew)) * peak_mean))))"
29,0.07438283,"abs(sin(((peak_std + (peak_mean * (((-3.1570272 / peak_count) + ((prom_mean * 0.33093283) - abs(cos(((skew * kurt) / 0.24812573) + 0.60544527)))) - skew))) * 1.4283313) * std))"
30,0.07398899,"sin(abs(abs(((peak_mean * ((((-3.1548066 / peak_count) + (prom_mean * 0.33647808)) - abs(cos(((kurt * skew) / 0.24743919) + 0.6192266))) - skew)) + peak_std) * std)) * 1.4200494)"
