Complexity,Loss,Equation
1,0.17971109,"peak_std"
2,0.16260469,"sqrt(peak_std)"
3,0.15860593,"1.504417 - peak_mean"
4,0.15179552,"sqrt(peak_std - 0.089821555)"
5,0.14732082,"peak_std * (1.9267855 - peak_std)"
6,0.14486974,"exp(-1.407047 / (peak_std * peak_count))"
7,0.14252351,"(peak_std - (skew * 0.3565487)) * 0.84486383"
8,0.13416436,"log((0.36642683 - (peak_std / -0.50531054)) - skew)"
9,0.13089459,"exp(-1.2714958 / square((peak_std - skew) * max_peak))"
10,0.123223685,"exp(-2.0303242 / square(square((peak_std - skew) * max_peak)))"
12,0.12139725,"exp(-2.3318396 / (strong_peaks + square(square((peak_std - skew) * max_peak))))"
13,0.11978732,"sqrt(exp(-1.2440366 / square(square(skew - (rms / kurt)) + peak_std)))"
14,0.11896235,"sqrt(exp(-1.2440366 / square((peak_std * sqrt(strong_peaks)) + square(skew - peak_std))))"
15,0.11780341,"sqrt(exp(-1.2440366 / square((peak_std * sqrt(sqrt(strong_peaks))) + square(skew - peak_std))))"
16,0.113998845,"sqrt(exp(-1.3475335 / square((strong_peaks * square(prom_mean * peak_std)) + square(peak_std - skew))))"
17,0.109489076,"sqrt(exp(-1.186738 / square(square(peak_std + ((strong_peaks * ((prom_mean * peak_std) + -0.48447204)) - skew)))))"
18,0.1081456,"sqrt(exp(-1.2315593 / square(square(((sqrt(strong_peaks) * ((peak_std * prom_mean) + -0.4486804)) - skew) + peak_std))))"
19,0.105680026,"sqrt(exp(-1.236997 / square(square((peak_std - skew) + (peak_std * (strong_peaks * ((peak_mean * -1.2549113) + prom_mean)))))))"
21,0.1053185,"sqrt(exp(-3.1786466 / square(square(peak_std + (((sqrt(sqrt(strong_peaks)) * ((prom_mean * peak_std) + -0.41326654)) - skew) / 0.7277193)))))"
22,0.10365038,"sqrt(exp(-1.2488862 / square(square(skew - peak_std) + (((peak_std * exp(prom_mean)) + -1.6028011) * (strong_peaks / (kurt + prom_mean))))))"
23,0.10265342,"sqrt(exp(-1.2095274 / square(square(peak_std - skew) + (((-1.5991024 + exp(peak_std * prom_mean)) * sqrt(strong_peaks)) / (1.6019474 + kurt)))))"
24,0.10033051,"sqrt(exp(-1.2072728 / square(((strong_peaks / ((prom_mean * kurt) + 2.106552)) * (exp(peak_std * prom_mean) + -1.5988804)) + square(skew - peak_std))))"
25,0.09913813,"sqrt(exp(-1.2529075 / square(square((peak_std + ((strong_peaks / exp((kurt + peak_mean) * strong_peaks)) * (exp(peak_std * prom_mean) + -1.5904685))) - skew))))"
26,0.09651418,"sqrt(exp(-1.2716845 / square(square(((strong_peaks * (exp(peak_std * prom_mean) + -1.59949)) / exp(square((peak_mean + kurt) * strong_peaks))) + (peak_std - skew)))))"
27,0.09592873,"sqrt(exp(-1.2564912 / square(square((((exp(prom_mean * peak_std) + -1.639902) / exp(square(strong_peaks) * (peak_mean + kurt))) * square(strong_peaks)) + (peak_std - skew)))))"
28,0.09423854,"sqrt(exp(-1.2559606 / square(square((((strong_peaks / 0.58660764) * (exp(peak_std * prom_mean) + -1.6322708)) / exp((peak_mean + kurt) * square(strong_peaks))) + (peak_std - skew)))))"
29,0.09347607,"sqrt(exp(-1.2565185 / square(((square(strong_peaks) / 0.3918041) * ((exp(peak_std * prom_mean) + -1.639474) / exp((peak_mean + kurt) * square(strong_peaks)))) + square(skew - peak_std))))"
30,0.09347606,"sqrt(abs(exp(-1.2565188 / square(square(skew - peak_std) + (((square(strong_peaks) / 0.39180577) * (exp(peak_std * prom_mean) + -1.6394762)) / exp((peak_mean + kurt) * square(strong_peaks)))))))"
