Complexity,Loss,Equation
1,0.2121451,"0.5623446"
2,0.16260469,"sqrt(peak_std)"
3,0.15860593,"1.5044262 - peak_mean"
4,0.15179406,"sqrt(peak_std + -0.08988858)"
5,0.14967932,"peak_std + (skew * -0.24733625)"
6,0.1455813,"1.2058717 - (peak_mean / exp(peak_std))"
7,0.13674186,"0.8686441 + (peak_std - sqrt(exp(skew)))"
8,0.13672987,"(peak_std - -0.86578447) - exp(skew / 1.964638)"
9,0.13036138,"prom_max / (square(exp(skew) / peak_std) + prom_max)"
10,0.124642186,"0.9011631 / exp(square(0.4718928 / (exp(peak_std) + kurt)))"
12,0.1215146,"3.9018996 / (square(skew / ((kurt + peak_std) + 0.7660708)) + 4.4734116)"
13,0.11691542,"5.5661216 / (square(square(skew / ((peak_std + kurt) + 0.8565542))) + 6.631613)"
14,0.11557482,"1.0996395 / (square(-0.1318415 / (kurt + ((-0.2930574 / skew) + 0.35403484))) + 1.2573024)"
15,0.10898476,"1.5030175 / (square(-0.06533594 / (exp(kurt) + ((-0.14780149 / skew) + -0.6830831))) + 1.7427275)"
16,0.10764348,"1.5009402 / square(square(-0.036582556 / ((exp(kurt) + -0.67957455) + (-0.14644147 / skew))) + 1.3206306)"
17,0.1046545,"1.4662433 / (square((0.38021922 / peak_count) / ((exp(kurt) + (-0.15088232 / skew)) + -0.6892306)) + 1.7044752)"
18,0.10345148,"square(1.5266031 / (square((0.2334959 / peak_count) / (-0.6881306 + ((-0.15064403 / skew) + exp(kurt)))) + 1.6523477))"
19,0.101611346,"0.8421498 / exp(square(square(exp(peak_std - (peak_std / square(skew))) / exp((0.6152716 + kurt) * prom_max))))"
20,0.09989782,"0.87362283 / exp(square(exp(peak_std - (prom_mean * square(peak_std / skew))) / exp(prom_max * (kurt + 0.697355))))"
21,0.09669661,"0.8913972 / exp(square(exp((exp(skew) - prom_mean) * square(peak_std / skew)) / exp((kurt + 0.67684805) * 3.8517387)))"
22,0.093799934,"0.8967893 / exp(square(exp((0.870892 - prom_mean) * (max_peak * square(peak_std / skew))) / exp(prom_max * (0.6202007 + kurt))))"
24,0.09301793,"0.8967893 / exp(abs(square(exp((0.870892 - prom_mean) * (max_peak * square(peak_std / skew))) / exp(prom_max * (square(-0.80149925) + kurt)))))"
26,0.09254568,"square(1.008081 / exp(abs(square(exp((1.1007577 - prom_mean) * (peak_std * strong_peaks)) / (peak_std + sqrt(exp((kurt + 0.6776557) / peak_std)))) + -0.17261982)))"
27,0.09151304,"square(1.0020534 / exp(abs(square(exp((max_peak * strong_peaks) * (peak_std * (1.0333204 - prom_mean))) / (peak_std + exp((kurt + 0.6952871) / peak_std))) + -0.100790605)))"
28,0.09099366,"square(0.99219596 / exp(abs(-0.08708244 + square(exp((log(peak_std * peak_count) * (1.022565 - prom_mean)) * strong_peaks) / (peak_std + exp((0.6976849 + kurt) / peak_std))))))"
29,0.08932078,"square(0.9642914 / exp(square((exp((1.0319045 - ((peak_std + 0.3431381) * prom_mean)) * strong_peaks) / sqrt(peak_std + exp(((kurt + 0.6690921) / peak_std) * prom_mean))) + -0.3428757)))"
