Complexity,Loss,Equation
1,0.2121451,"0.5623448"
2,0.20453122,"sqrt(peak_std)"
3,0.19640322,"sqrt(sqrt(peak_std))"
4,0.18864642,"sqrt(abs(log(peak_mean)))"
5,0.18062127,"exp(-0.35035878 / exp(kurt))"
6,0.15783574,"exp(-0.42172638 / (kurt + peak_mean))"
7,0.14734839,"exp(-0.23831595 / square(kurt + peak_mean))"
8,0.1439887,"exp(-0.74790853 / square(kurt + square(peak_mean)))"
9,0.13682395,"exp(kurt / square(square(square(peak_mean) + kurt)))"
10,0.1337534,"exp(-0.16698124 / square(square(peak_mean) + (kurt * 1.6379272)))"
11,0.11959831,"exp(-0.022596516 / square(kurt + ((-0.28237492 / skew) + 0.4182959)))"
12,0.1195983,"abs(exp(-0.022596534 / square((kurt + (-0.28237492 / skew)) + 0.4182959)))"
13,0.11025548,"exp(-0.027738096 / square(((0.048650388 / (-0.3097567 - skew)) + 0.7248238) + kurt))"
14,0.11025082,"sqrt(exp(-0.053847697 / square((0.04839715 / (-0.31007078 - skew)) + (0.72313344 + kurt))))"
15,0.10387686,"exp((-0.013538069 / square(((0.045318875 / (-0.3211967 - skew)) + 0.690014) + kurt)) + -0.13412946)"
16,0.10378428,"sqrt(exp(-0.025708588 / square((kurt + 0.6908445) + (0.044298626 / (-0.32167104 - skew)))) * 0.7765311)"
17,0.0976807,"exp((-0.013669212 / square((kurt + 0.68640697) + (0.050381392 / ((peak_mean * -0.22989582) - skew)))) + -0.12974048)"
18,0.09741212,"sqrt(exp(-0.022685552 / square((kurt + 0.67029893) + (0.053848322 / ((peak_mean * -0.22610445) - skew)))) / 1.3131919)"
19,0.09706077,"sqrt(exp(-0.028361585 / square((0.052852158 / ((-0.22611631 * peak_mean) - skew)) + (kurt + 0.67961407))) / sqrt(peak_mean))"
20,0.094021626,"exp(((-0.022552455 / square(((0.05753526 / ((peak_mean * -0.22352491) - skew)) + kurt) + 0.6605054)) + -0.16678445) * exp(skew))"
22,0.094000764,"exp((-0.16676298 + (-0.022425903 / square((0.6610649 + kurt) + (0.05735825 / ((peak_mean * -0.22338946) - skew))))) * exp(skew)) * 0.9923695"
24,0.09361251,"sqrt(exp((exp(square(peak_mean) + 0.03726904) * -0.024072656) + (-0.022522956 / square(((0.057326816 / ((peak_mean * -0.22339031) - skew)) + 0.6610491) + kurt))))"
25,0.09351735,"sqrt(square(sqrt(abs(exp((-0.022522956 / square(((0.057326816 / ((peak_mean * -0.22339031) - skew)) + 0.6610491) + kurt)) + (exp(square(peak_mean)) * -0.024072656))))))"
26,0.09325339,"abs(abs(exp(((-0.028392203 / square((kurt + (0.056185916 / ((peak_mean * -0.22454232) - skew))) + 0.66754144)) + -0.14128596) * exp(skew + (kurt * 0.17922704)))))"
28,0.093141854,"abs(exp(exp((kurt * 0.17469032) + (skew * abs(0.753414))) * (-0.16676761 + (-0.022522956 / square(kurt + ((0.057326816 / ((peak_mean * -0.22339031) - skew)) + 0.6610491))))))"
29,0.09243755,"abs(exp((-0.16676761 + (-0.022522956 / square(((0.057326816 / ((-0.22339031 * peak_mean) - skew)) + 0.6610491) + kurt))) * exp(((peak_std * 0.3169426) * (kurt - peak_std)) + skew)))"
