temp,time
31.31,1669464000.0
31.31,1669464000.25
31.31,1669464000.5
31.31,1669464000.75
31.31,1669464001.0
31.27,1669464001.25
31.27,1669464001.5
31.27,1669464001.75
31.27,1669464002.0
31.29,1669464002.25
31.29,1669464002.5
31.29,1669464002.75
31.29,1669464003.0
31.29,1669464003.25
31.29,1669464003.5
31.29,1669464003.75
31.29,1669464004.0
31.29,1669464004.25
31.29,1669464004.5
31.29,1669464004.75
31.29,1669464005.0
31.31,1669464005.25
31.31,1669464005.5
31.31,1669464005.75
31.31,1669464006.0
31.27,1669464006.25
31.27,1669464006.5
31.27,1669464006.75
31.27,1669464007.0
31.27,1669464007.25
31.27,1669464007.5
31.27,1669464007.75
31.27,1669464008.0
31.27,1669464008.25
31.27,1669464008.5
31.27,1669464008.75
31.27,1669464009.0
31.27,1669464009.25
31.27,1669464009.5
31.27,1669464009.75
31.27,1669464010.0
31.27,1669464010.25
31.27,1669464010.5
31.27,1669464010.75
31.27,1669464011.0
31.27,1669464011.25
31.27,1669464011.5
31.27,1669464011.75
31.27,1669464012.0
31.25,1669464012.25
31.25,1669464012.5
31.25,1669464012.75
31.25,1669464013.0
31.27,1669464013.25
31.27,1669464013.5
31.27,1669464013.75
31.27,1669464014.0
31.25,1669464014.25
31.25,1669464014.5
31.25,1669464014.75
31.25,1669464015.0
31.23,1669464015.25
31.23,1669464015.5
31.23,1669464015.75
31.23,1669464016.0
31.27,1669464016.25
31.27,1669464016.5
31.27,1669464016.75
31.27,1669464017.0
31.25,1669464017.25
31.25,1669464017.5
31.25,1669464017.75
31.25,1669464018.0
31.27,1669464018.25
31.27,1669464018.5
31.27,1669464018.75
31.27,1669464019.0
31.25,1669464019.25
31.25,1669464019.5
31.25,1669464019.75
31.25,1669464020.0
31.25,1669464020.25
31.25,1669464020.5
31.25,1669464020.75
31.25,1669464021.0
31.25,1669464021.25
31.25,1669464021.5
31.25,1669464021.75
31.25,1669464022.0
31.23,1669464022.25
31.23,1669464022.5
31.23,1669464022.75
31.23,1669464023.0
31.25,1669464023.25
31.25,1669464023.5
31.25,1669464023.75
31.25,1669464024.0
31.23,1669464024.25
31.23,1669464024.5
31.23,1669464024.75
31.23,1669464025.0
31.27,1669464025.25
31.27,1669464025.5
31.27,1669464025.75
31.27,1669464026.0
31.25,1669464026.25
31.25,1669464026.5
31.25,1669464026.75
31.25,1669464027.0
31.27,1669464027.25
31.27,1669464027.5
31.27,1669464027.75
31.27,1669464028.0
31.27,1669464028.25
31.27,1669464028.5
31.27,1669464028.75
31.27,1669464029.0
31.25,1669464029.25
31.25,1669464029.5
31.25,1669464029.75
31.25,1669464030.0
31.25,1669464030.25
31.25,1669464030.5
31.25,1669464030.75
31.25,1669464031.0
31.25,1669464031.25
31.25,1669464031.5
31.25,1669464031.75
31.25,1669464032.0
31.29,1669464032.25
31.29,1669464032.5
31.29,1669464032.75
31.29,1669464033.0
31.27,1669464033.25
31.27,1669464033.5
31.27,1669464033.75
31.27,1669464034.0
31.27,1669464034.25
31.27,1669464034.5
31.27,1669464034.75
31.27,1669464035.0
31.27,1669464035.25
31.27,1669464035.5
31.27,1669464035.75
31.27,1669464036.0
31.27,1669464036.25
31.27,1669464036.5
31.27,1669464036.75
31.27,1669464037.0
31.29,1669464037.25
31.29,1669464037.5
31.29,1669464037.75
31.29,1669464038.0
31.27,1669464038.25
31.27,1669464038.5
31.27,1669464038.75
31.27,1669464039.0
31.27,1669464039.25
31.27,1669464039.5
31.27,1669464039.75
31.27,1669464040.0
31.29,1669464040.25
31.29,1669464040.5
31.29,1669464040.75
31.29,1669464041.0
31.27,1669464041.25
31.27,1669464041.5
31.27,1669464041.75
31.27,1669464042.0
31.27,1669464042.25
31.27,1669464042.5
31.27,1669464042.75
31.27,1669464043.0
31.27,1669464043.25
31.27,1669464043.5
31.27,1669464043.75
31.27,1669464044.0
31.29,1669464044.25
31.29,1669464044.5
31.29,1669464044.75
31.29,1669464045.0
31.29,1669464045.25
31.29,1669464045.5
31.29,1669464045.75
31.29,1669464046.0
31.29,1669464046.25
31.29,1669464046.5
31.29,1669464046.75
31.29,1669464047.0
31.27,1669464047.25
31.27,1669464047.5
31.27,1669464047.75
31.27,1669464048.0
31.27,1669464048.25
31.27,1669464048.5
31.27,1669464048.75
31.27,1669464049.0
31.23,1669464049.25
31.23,1669464049.5
31.23,1669464049.75
31.23,1669464050.0
31.25,1669464050.25
31.25,1669464050.5
31.25,1669464050.75
31.25,1669464051.0
31.23,1669464051.25
31.23,1669464051.5
31.23,1669464051.75
31.23,1669464052.0
31.23,1669464052.25
31.23,1669464052.5
31.23,1669464052.75
31.23,1669464053.0
31.25,1669464053.25
31.25,1669464053.5
31.25,1669464053.75
31.25,1669464054.0
31.23,1669464054.25
31.23,1669464054.5
31.23,1669464054.75
31.23,1669464055.0
31.25,1669464055.25
31.25,1669464055.5
31.25,1669464055.75
31.25,1669464056.0
31.23,1669464056.25
31.23,1669464056.5
31.23,1669464056.75
31.23,1669464057.0
31.25,1669464057.25
31.25,1669464057.5
31.25,1669464057.75
31.25,1669464058.0
31.25,1669464058.25
31.25,1669464058.5
31.25,1669464058.75
31.25,1669464059.0
31.25,1669464059.25
31.25,1669464059.5
31.25,1669464059.75
31.25,1669464060.0
31.25,1669464060.25
31.25,1669464060.5
31.25,1669464060.75
31.25,1669464061.0
31.23,1669464061.25
31.23,1669464061.5
31.23,1669464061.75
31.23,1669464062.0
31.21,1669464062.25
31.21,1669464062.5
31.21,1669464062.75
31.21,1669464063.0
31.23,1669464063.25
31.23,1669464063.5
31.23,1669464063.75
31.23,1669464064.0
31.25,1669464064.25
31.25,1669464064.5
31.25,1669464064.75
31.25,1669464065.0
31.23,1669464065.25
31.23,1669464065.5
31.23,1669464065.75
31.23,1669464066.0
31.23,1669464066.25
31.23,1669464066.5
31.23,1669464066.75
31.23,1669464067.0
31.23,1669464067.25
31.23,1669464067.5
31.23,1669464067.75
31.23,1669464068.0
31.21,1669464068.25
31.21,1669464068.5
31.21,1669464068.75
31.21,1669464069.0
31.23,1669464069.25
31.23,1669464069.5
31.23,1669464069.75
31.23,1669464070.0
31.23,1669464070.25
31.23,1669464070.5
31.23,1669464070.75
31.23,1669464071.0
31.23,1669464071.25
31.23,1669464071.5
31.23,1669464071.75
31.23,1669464072.0
31.23,1669464072.25
31.23,1669464072.5
31.23,1669464072.75
31.23,1669464073.0
31.25,1669464073.25
31.25,1669464073.5
31.25,1669464073.75
31.25,1669464074.0
31.25,1669464074.25
31.25,1669464074.5
31.25,1669464074.75
31.25,1669464075.0
31.25,1669464075.25
31.25,1669464075.5
31.25,1669464075.75
31.25,1669464076.0
31.25,1669464076.25
31.25,1669464076.5
31.25,1669464076.75
31.25,1669464077.0
31.25,1669464077.25
31.25,1669464077.5
31.25,1669464077.75
31.25,1669464078.0
31.25,1669464078.25
31.25,1669464078.5
31.25,1669464078.75
31.25,1669464079.0
31.25,1669464079.25
31.25,1669464079.5
31.25,1669464079.75
31.25,1669464080.0
31.23,1669464080.25
31.23,1669464080.5
31.23,1669464080.75
31.23,1669464081.0
31.25,1669464081.25
31.25,1669464081.5
31.25,1669464081.75
31.25,1669464082.0
31.23,1669464082.25
31.23,1669464082.5
31.23,1669464082.75
31.23,1669464083.0
31.23,1669464083.25
31.23,1669464083.5
31.23,1669464083.75
31.23,1669464084.0
31.27,1669464084.25
31.27,1669464084.5
31.27,1669464084.75
31.27,1669464085.0
31.25,1669464085.25
31.25,1669464085.5
31.25,1669464085.75
31.25,1669464086.0
31.23,1669464086.25
31.23,1669464086.5
31.23,1669464086.75
31.23,1669464087.0
31.25,1669464087.25
31.25,1669464087.5
31.25,1669464087.75
31.25,1669464088.0
31.25,1669464088.25
31.25,1669464088.5
31.25,1669464088.75
31.25,1669464089.0
31.25,1669464089.25
31.25,1669464089.5
31.25,1669464089.75
31.25,1669464090.0
31.25,1669464090.25
31.25,1669464090.5
31.25,1669464090.75
31.25,1669464091.0
31.25,1669464091.25
31.25,1669464091.5
31.25,1669464091.75
31.25,1669464092.0
31.25,1669464092.25
31.25,1669464092.5
31.25,1669464092.75
31.25,1669464093.0
31.25,1669464093.25
31.25,1669464093.5
31.25,1669464093.75
31.25,1669464094.0
31.25,1669464094.25
31.25,1669464094.5
31.25,1669464094.75
31.25,1669464095.0
31.27,1669464095.25
31.27,1669464095.5
31.27,1669464095.75
31.27,1669464096.0
31.27,1669464096.25
31.27,1669464096.5
31.27,1669464096.75
31.27,1669464097.0
31.29,1669464097.25
31.29,1669464097.5
31.29,1669464097.75
31.29,1669464098.0
31.27,1669464098.25
31.27,1669464098.5
31.27,1669464098.75
31.27,1669464099.0
31.27,1669464099.25
31.27,1669464099.5
31.27,1669464099.75
31.27,1669464100.0
31.27,1669464100.25
31.27,1669464100.5
31.27,1669464100.75
31.27,1669464101.0
31.27,1669464101.25
31.27,1669464101.5
31.27,1669464101.75
31.27,1669464102.0
31.25,1669464102.25
31.25,1669464102.5
31.25,1669464102.75
31.25,1669464103.0
31.25,1669464103.25
31.25,1669464103.5
31.25,1669464103.75
31.25,1669464104.0
31.25,1669464104.25
31.25,1669464104.5
31.25,1669464104.75
31.25,1669464105.0
31.23,1669464105.25
31.23,1669464105.5
31.23,1669464105.75
31.23,1669464106.0
31.23,1669464106.25
31.23,1669464106.5
31.23,1669464106.75
31.23,1669464107.0
31.25,1669464107.25
31.25,1669464107.5
31.25,1669464107.75
31.25,1669464108.0
31.27,1669464108.25
31.27,1669464108.5
31.27,1669464108.75
31.27,1669464109.0
31.25,1669464109.25
31.25,1669464109.5
31.25,1669464109.75
31.25,1669464110.0
31.23,1669464110.25
31.23,1669464110.5
31.23,1669464110.75
31.23,1669464111.0
31.25,1669464111.25
31.25,1669464111.5
31.25,1669464111.75
31.25,1669464112.0
31.25,1669464112.25
31.25,1669464112.5
31.25,1669464112.75
31.25,1669464113.0
31.25,1669464113.25
31.25,1669464113.5
31.25,1669464113.75
31.25,1669464114.0
31.25,1669464114.25
31.25,1669464114.5
31.25,1669464114.75
31.25,1669464115.0
31.23,1669464115.25
31.23,1669464115.5
31.23,1669464115.75
31.23,1669464116.0
31.25,1669464116.25
31.25,1669464116.5
31.25,1669464116.75
31.25,1669464117.0
31.23,1669464117.25
31.23,1669464117.5
31.23,1669464117.75
31.23,1669464118.0
31.23,1669464118.25
31.23,1669464118.5
31.23,1669464118.75
31.23,1669464119.0
31.25,1669464119.25
31.25,1669464119.5
31.25,1669464119.75
31.25,1669464120.0
31.25,1669464120.25
31.25,1669464120.5
31.25,1669464120.75
31.25,1669464121.0
31.25,1669464121.25
31.25,1669464121.5
31.25,1669464121.75
31.25,1669464122.0
31.23,1669464122.25
31.23,1669464122.5
31.23,1669464122.75
31.23,1669464123.0
31.25,1669464123.25
31.25,1669464123.5
31.25,1669464123.75
31.25,1669464124.0
31.25,1669464124.25
31.25,1669464124.5
31.25,1669464124.75
31.25,1669464125.0
31.23,1669464125.25
31.23,1669464125.5
31.23,1669464125.75
31.23,1669464126.0
31.23,1669464126.25
31.23,1669464126.5
31.23,1669464126.75
31.23,1669464127.0
31.23,1669464127.25
31.23,1669464127.5
31.23,1669464127.75
31.23,1669464128.0
31.23,1669464128.25
31.23,1669464128.5
31.23,1669464128.75
31.23,1669464129.0
31.23,1669464129.25
31.23,1669464129.5
31.23,1669464129.75
31.23,1669464130.0
31.25,1669464130.25
31.25,1669464130.5
31.25,1669464130.75
31.25,1669464131.0
31.23,1669464131.25
31.23,1669464131.5
31.23,1669464131.75
31.23,1669464132.0
31.25,1669464132.25
31.25,1669464132.5
31.25,1669464132.75
31.25,1669464133.0
31.25,1669464133.25
31.25,1669464133.5
31.25,1669464133.75
31.25,1669464134.0
31.25,1669464134.25
31.25,1669464134.5
31.25,1669464134.75
31.25,1669464135.0
31.23,1669464135.25
31.23,1669464135.5
31.23,1669464135.75
