bvp,time
-364.58,1780134876.640625
-328.18,1780134876.65625
-293.7,1780134876.671875
-262.83,1780134876.6875
-235.45,1780134876.703125
-210.72,1780134876.71875
-188.08,1780134876.734375
-167.59,1780134876.75
-149.49,1780134876.765625
-133.7,1780134876.78125
-119.57,1780134876.796875
-106.08,1780134876.8125
-92.41,1780134876.828125
-78.28,1780134876.84375
-64.07,1780134876.859375
-50.63,1780134876.875
-38.76,1780134876.890625
-28.83,1780134876.90625
-20.65,1780134876.921875
-13.58,1780134876.9375
-6.75,1780134876.953125
0.52,1780134876.96875
8.53,1780134876.984375
17.16,1780134877.0
25.94,1780134877.015625
34.34,1780134877.03125
41.99,1780134877.046875
48.72,1780134877.0625
54.68,1780134877.078125
60.25,1780134877.09375
65.86,1780134877.109375
71.94,1780134877.125
78.73,1780134877.140625
86.31,1780134877.15625
94.56,1780134877.171875
103.21,1780134877.1875
111.96,1780134877.203125
120.57,1780134877.21875
129.04,1780134877.234375
137.67,1780134877.25
146.96,1780134877.265625
157.61,1780134877.28125
170.12,1780134877.296875
184.69,1780134877.3125
201.13,1780134877.328125
218.89,1780134877.34375
237.31,1780134877.359375
255.8,1780134877.375
274.16,1780134877.390625
292.63,1780134877.40625
312.01,1780134877.421875
333.62,1780134877.4375
358.98,1780134877.453125
389.17,1780134877.46875
423.89,1780134877.484375
460.89,1780134877.5
495.82,1780134877.515625
523.18,1780134877.53125
537.78,1780134877.546875
536.2,1780134877.5625
517.71,1780134877.578125
484.21,1780134877.59375
439.5,1780134877.609375
388.09,1780134877.625
334.45,1780134877.640625
282.33,1780134877.65625
234.6,1780134877.671875
192.98,1780134877.6875
157.89,1780134877.703125
128.5,1780134877.71875
103.23,1780134877.734375
80.7,1780134877.75
60.49,1780134877.765625
43.64,1780134877.78125
32.1,1780134877.796875
27.73,1780134877.8125
31.39,1780134877.828125
42.42,1780134877.84375
58.94,1780134877.859375
78.51,1780134877.875
98.79,1780134877.890625
117.63,1780134877.90625
132.75,1780134877.921875
141.57,1780134877.9375
141.54,1780134877.953125
131.43,1780134877.96875
112.16,1780134877.984375
87.11,1780134878.0
60.82,1780134878.015625
37.04,1780134878.03125
17.11,1780134878.046875
-0.19,1780134878.0625
-17.33,1780134878.078125
-36.03,1780134878.09375
-55.93,1780134878.109375
-74.7,1780134878.125
-89.56,1780134878.140625
-98.85,1780134878.15625
-102.91,1780134878.171875
-103.54,1780134878.1875
-102.72,1780134878.203125
-101.53,1780134878.21875
-99.91,1780134878.234375
-97.21,1780134878.25
-93.12,1780134878.265625
-88.15,1780134878.28125
-83.5,1780134878.296875
-80.54,1780134878.3125
-80.12,1780134878.328125
-82.23,1780134878.34375
-86.03,1780134878.359375
-90.16,1780134878.375
-93.27,1780134878.390625
-94.41,1780134878.40625
-93.35,1780134878.421875
-90.62,1780134878.4375
-87.43,1780134878.453125
-85.36,1780134878.46875
-85.84,1780134878.484375
-89.64,1780134878.5
-96.38,1780134878.515625
-104.4,1780134878.53125
-111.1,1780134878.546875
-113.55,1780134878.5625
-109.31,1780134878.578125
-97.01,1780134878.59375
-76.67,1780134878.609375
-49.47,1780134878.625
-17.46,1780134878.640625
16.95,1780134878.65625
51.34,1780134878.671875
83.53,1780134878.6875
111.78,1780134878.703125
134.88,1780134878.71875
152.13,1780134878.734375
163.22,1780134878.75
168.3,1780134878.765625
167.91,1780134878.78125
163.04,1780134878.796875
155.18,1780134878.8125
146.11,1780134878.828125
137.56,1780134878.84375
130.66,1780134878.859375
125.68,1780134878.875
121.94,1780134878.890625
118.33,1780134878.90625
113.9,1780134878.921875
108.31,1780134878.9375
101.95,1780134878.953125
95.49,1780134878.96875
89.36,1780134878.984375
83.34,1780134879.0
76.61,1780134879.015625
68.26,1780134879.03125
57.77,1780134879.046875
45.38,1780134879.0625
32.03,1780134879.078125
18.92,1780134879.09375
7.04,1780134879.109375
-3.19,1780134879.125
-11.94,1780134879.140625
-19.81,1780134879.15625
-27.47,1780134879.171875
-35.53,1780134879.1875
-44.26,1780134879.203125
-53.6,1780134879.21875
-63.01,1780134879.234375
-71.66,1780134879.25
-78.56,1780134879.265625
-82.91,1780134879.28125
-84.35,1780134879.296875
-83.04,1780134879.3125
-79.56,1780134879.328125
-74.58,1780134879.34375
-68.79,1780134879.359375
-62.7,1780134879.375
-56.84,1780134879.390625
-51.77,1780134879.40625
-48.08,1780134879.421875
-46.2,1780134879.4375
-46.17,1780134879.453125
-47.61,1780134879.46875
-49.77,1780134879.484375
-51.82,1780134879.5
