PPG GREEN,time
1902611.0,1780135980.024
1900105.0,1780135980.064
1898304.0,1780135980.106
1897017.0,1780135980.145
1896209.0,1780135980.185
1895345.0,1780135980.226
1894657.0,1780135980.265
1893672.0,1780135980.306
1892951.0,1780135980.346
1892145.0,1780135980.385
1891702.0,1780135980.425
1890945.0,1780135980.466
1890494.0,1780135980.506
1890683.0,1780135980.546
1891137.0,1780135980.587
1891108.0,1780135980.626
1889682.0,1780135980.666
1887345.0,1780135980.708
1884898.0,1780135980.746
1883269.0,1780135980.786
1882347.0,1780135980.827
1882846.0,1780135980.866
1884338.0,1780135980.907
1886515.0,1780135980.948
1889216.0,1780135980.987
1892226.0,1780135981.027
1895652.0,1780135981.068
1898490.0,1780135981.108
1901303.0,1780135981.147
1904210.0,1780135981.188
1907164.0,1780135981.227
1910814.0,1780135981.268
1914666.0,1780135981.309
1916802.0,1780135981.348
1917417.0,1780135981.388
1917511.0,1780135981.429
1917821.0,1780135981.468
1921958.0,1780135981.549
1919439.0,1780135981.509
1928447.0,1780135981.628
1932237.0,1780135981.67
1935599.0,1780135981.709
1938620.0,1780135981.749
1925286.0,1780135981.588
1941484.0,1780135981.79
1943900.0,1780135981.829
1946789.0,1780135981.869
1953208.0,1780135981.949
1949639.0,1780135981.911
1955286.0,1780135981.989
1954803.0,1780135982.031
1952949.0,1780135982.07
1950886.0,1780135982.151
1952411.0,1780135982.23
1954053.0,1780135982.271
1951286.0,1780135982.19
1951353.0,1780135982.11
1955664.0,1780135982.311
1958549.0,1780135982.392
1957404.0,1780135982.35
1959929.0,1780135982.471
1959258.0,1780135982.431
1960860.0,1780135982.513
1961033.0,1780135982.551
1960201.0,1780135982.591
1956885.0,1780135982.632
1951407.0,1780135982.671
1946470.0,1780135982.712
1942290.0,1780135982.753
1938655.0,1780135982.792
1935096.0,1780135982.832
1932513.0,1780135982.873
1930159.0,1780135982.913
1927806.0,1780135982.952
1925522.0,1780135982.994
1923229.0,1780135983.033
1921219.0,1780135983.073
1919683.0,1780135983.115
1918234.0,1780135983.153
1917760.0,1780135983.193
1918273.0,1780135983.234
1916602.0,1780135983.273
1912675.0,1780135983.314
1902663.0,1780135983.393
1907248.0,1780135983.354
1897426.0,1780135983.475
1898838.0,1780135983.433
1898450.0,1780135983.514
1900562.0,1780135983.554
1902609.0,1780135983.595
1903539.0,1780135983.634
1903220.0,1780135983.674
1903015.0,1780135983.716
1902016.0,1780135983.754
1900529.0,1780135983.794
1899061.0,1780135983.835
1896987.0,1780135983.874
1894852.0,1780135983.915
1895043.0,1780135983.955
1894482.0,1780135983.995
1889921.0,1780135984.035
1885907.0,1780135984.076
1881196.0,1780135984.116
1877437.0,1780135984.155
1876447.0,1780135984.196
1876144.0,1780135984.235
1876541.0,1780135984.275
1876829.0,1780135984.317
1877866.0,1780135984.355
1879036.0,1780135984.395
1881706.0,1780135984.437
1885034.0,1780135984.476
1888356.0,1780135984.517
1892015.0,1780135984.557
1895297.0,1780135984.596
1898457.0,1780135984.636
1901591.0,1780135984.677
1904103.0,1780135984.717
1906483.0,1780135984.756
1905919.0,1780135984.797
1904085.0,1780135984.836
1901156.0,1780135984.877
1899639.0,1780135984.918
1898867.0,1780135984.957
1899778.0,1780135984.997
1900792.0,1780135985.038
1902411.0,1780135985.077
1903641.0,1780135985.118
1904769.0,1780135985.158
1905870.0,1780135985.197
1907076.0,1780135985.237
1908475.0,1780135985.278
1909935.0,1780135985.318
1911545.0,1780135985.357
1913411.0,1780135985.399
1915657.0,1780135985.438
1917670.0,1780135985.478
1917267.0,1780135985.52
1914754.0,1780135985.558
1911911.0,1780135985.598
1909731.0,1780135985.639
1908515.0,1780135985.678
1908532.0,1780135985.719
1909153.0,1780135985.759
1910546.0,1780135985.798
1911799.0,1780135985.838
1912918.0,1780135985.88
1914489.0,1780135985.919
1915899.0,1780135985.959
1917558.0,1780135986.0
1919434.0,1780135986.039
1921092.0,1780135986.079
1922869.0,1780135986.121
1924836.0,1780135986.159
1926392.0,1780135986.199
1925316.0,1780135986.24
1922634.0,1780135986.28
1919460.0,1780135986.32
1916810.0,1780135986.361
