bvp,time
64.0,1709208785.0
-0.0,1709208785.015625
-0.0,1709208785.03125
-0.0,1709208785.046875
-0.0,1709208785.0625
-0.0,1709208785.078125
-0.0,1709208785.09375
-0.0,1709208785.109375
-0.0,1709208785.125
-0.0,1709208785.140625
-0.0,1709208785.15625
0.0,1709208785.171875
0.01,1709208785.1875
0.01,1709208785.203125
-0.0,1709208785.21875
-0.03,1709208785.234375
-0.05,1709208785.25
-0.05,1709208785.265625
0.0,1709208785.28125
0.13,1709208785.296875
0.36,1709208785.3125
0.66,1709208785.328125
1.01,1709208785.34375
1.37,1709208785.359375
1.72,1709208785.375
2.06,1709208785.390625
2.4,1709208785.40625
2.79,1709208785.421875
3.24,1709208785.4375
3.8,1709208785.453125
4.42,1709208785.46875
5.06,1709208785.484375
5.66,1709208785.5
6.2,1709208785.515625
6.68,1709208785.53125
7.15,1709208785.546875
7.68,1709208785.5625
8.31,1709208785.578125
9.14,1709208785.59375
10.09,1709208785.609375
11.04,1709208785.625
11.88,1709208785.640625
12.56,1709208785.65625
13.14,1709208785.671875
13.76,1709208785.6875
14.65,1709208785.703125
15.96,1709208785.71875
17.91,1709208785.734375
20.32,1709208785.75
22.9,1709208785.765625
25.38,1709208785.78125
27.58,1709208785.796875
29.57,1709208785.8125
31.68,1709208785.828125
34.32,1709208785.84375
37.81,1709208785.859375
42.54,1709208785.875
48.15,1709208785.890625
54.1,1709208785.90625
59.83,1709208785.921875
64.97,1709208785.9375
69.58,1709208785.953125
74.14,1709208785.96875
79.34,1709208785.984375
85.71,1709208786.0
93.76,1709208786.015625
103.0,1709208786.03125
112.62,1709208786.046875
121.73,1709208786.0625
129.77,1709208786.078125
136.75,1709208786.09375
143.3,1709208786.109375
150.75,1709208786.125
157.77,1709208786.140625
166.64,1709208786.15625
177.95,1709208786.171875
191.79,1709208786.1875
206.97,1709208786.203125
220.57,1709208786.21875
228.25,1709208786.234375
225.36,1709208786.25
208.53,1709208786.265625
176.87,1709208786.28125
132.76,1709208786.296875
80.05,1709208786.3125
23.07,1709208786.328125
-34.94,1709208786.34375
-92.44,1709208786.359375
-149.16,1709208786.375
-205.23,1709208786.390625
-260.37,1709208786.40625
-313.74,1709208786.421875
-363.87,1709208786.4375
-409.83,1709208786.453125
-450.91,1709208786.46875
-486.51,1709208786.484375
-515.74,1709208786.5
-537.23,1709208786.515625
-549.22,1709208786.53125
-549.94,1709208786.546875
-538.33,1709208786.5625
-514.17,1709208786.578125
-478.66,1709208786.59375
-433.93,1709208786.609375
-382.59,1709208786.625
-327.27,1709208786.640625
-270.18,1709208786.65625
-213.03,1709208786.671875
-157.08,1709208786.6875
-103.36,1709208786.703125
-52.77,1709208786.71875
-6.32,1709208786.734375
35.12,1709208786.75
70.88,1709208786.765625
100.71,1709208786.78125
124.78,1709208786.796875
143.61,1709208786.8125
157.93,1709208786.828125
168.42,1709208786.84375
175.64,1709208786.859375
179.96,1709208786.875
181.64,1709208786.890625
180.91,1709208786.90625
178.1,1709208786.921875
173.64,1709208786.9375
167.98,1709208786.953125
161.54,1709208786.96875
154.6,1709208786.984375
147.28,1709208787.0
139.61,1709208787.015625
131.59,1709208787.03125
123.3,1709208787.046875
114.92,1709208787.0625
106.71,1709208787.078125
98.88,1709208787.09375
91.53,1709208787.109375
84.57,1709208787.125
77.79,1709208787.140625
70.92,1709208787.15625
63.84,1709208787.171875
56.63,1709208787.1875
49.57,1709208787.203125
43.03,1709208787.21875
37.32,1709208787.234375
32.47,1709208787.25
28.25,1709208787.265625
24.21,1709208787.28125
19.91,1709208787.296875
15.14,1709208787.3125
10.0,1709208787.328125
4.93,1709208787.34375
0.46,1709208787.359375
-3.06,1709208787.375
-5.59,1709208787.390625
-7.41,1709208787.40625
-9.0,1709208787.421875
-10.8,1709208787.4375
-13.1,1709208787.453125
-16.08,1709208787.46875
-19.86,1709208787.484375
-24.32,1709208787.5
-28.85,1709208787.515625
-32.16,1709208787.53125
-32.43,1709208787.546875
-28.04,1709208787.5625
-18.4,1709208787.578125
-4.57,1709208787.59375
10.94,1709208787.609375
25.03,1709208787.625
35.3,1709208787.640625
40.8,1709208787.65625
42.14,1709208787.671875
40.81,1709208787.6875
38.2,1709208787.703125
35.05,1709208787.71875
31.45,1709208787.734375
27.4,1709208787.75
23.36,1709208787.765625
20.28,1709208787.78125
19.1,1709208787.796875
20.12,1709208787.8125
22.62,1709208787.828125
25.08,1709208787.84375
25.86,1709208787.859375
23.98,1709208787.875
19.64,1709208787.890625
14.06,1709208787.90625
8.97,1709208787.921875
5.78,1709208787.9375
5.05,1709208787.953125
6.42,1709208787.96875
8.86,1709208787.984375
11.28,1709208788.0
12.89,1709208788.015625
13.43,1709208788.03125
13.04,1709208788.046875
12.01,1709208788.0625
10.64,1709208788.078125
9.09,1709208788.09375
7.44,1709208788.109375
5.64,1709208788.125
3.77,1709208788.140625
1.91,1709208788.15625
0.2,1709208788.171875
-1.21,1709208788.1875
-2.25,1709208788.203125
-2.89,1709208788.21875
-3.19,1709208788.234375
-3.22,1709208788.25
-3.06,1709208788.265625
-2.74,1709208788.28125
-2.26,1709208788.296875
-1.55,1709208788.3125
-0.57,1709208788.328125
0.62,1709208788.34375
1.85,1709208788.359375
2.83,1709208788.375
3.34,1709208788.390625
3.27,1709208788.40625
2.8,1709208788.421875
2.23,1709208788.4375
1.91,1709208788.453125
2.06,1709208788.46875
2.68,1709208788.484375
3.63,1709208788.5
4.69,1709208788.515625
5.73,1709208788.53125
6.68,1709208788.546875
7.57,1709208788.5625
8.49,1709208788.578125
9.43,1709208788.59375
10.36,1709208788.609375
11.22,1709208788.625
11.91,1709208788.640625
12.3,1709208788.65625
12.24,1709208788.671875
11.61,1709208788.6875
10.3,1709208788.703125
8.31,1709208788.71875
5.82,1709208788.734375
2.93,1709208788.75
-0.13,1709208788.765625
-3.14,1709208788.78125
-5.92,1709208788.796875
-8.38,1709208788.8125
-10.54,1709208788.828125
-12.46,1709208788.84375
-14.23,1709208788.859375
-15.87,1709208788.875
-17.28,1709208788.890625
-18.24,1709208788.90625
-18.44,1709208788.921875
-17.62,1709208788.9375
-15.71,1709208788.953125
-12.85,1709208788.96875
-9.45,1709208788.984375
-6.03,1709208789.0
-3.15,1709208789.015625
-1.18,1709208789.03125
-0.25,1709208789.046875
-0.26,1709208789.0625
-0.94,1709208789.078125
-1.95,1709208789.09375
-3.02,1709208789.109375
-3.97,1709208789.125
-4.77,1709208789.140625
-5.44,1709208789.15625
-6.0,1709208789.171875
-6.45,1709208789.1875
-6.69,1709208789.203125
-6.58,1709208789.21875
-6.06,1709208789.234375
-5.14,1709208789.25
-3.96,1709208789.265625
-2.69,1709208789.28125
-1.48,1709208789.296875
-0.41,1709208789.3125
0.53,1709208789.328125
1.33,1709208789.34375
1.96,1709208789.359375
2.35,1709208789.375
2.42,1709208789.390625
2.17,1709208789.40625
1.67,1709208789.421875
1.09,1709208789.4375
