temp,time
36.27,1708002554.75
36.27,1708002555.0
36.27,1708002555.25
36.27,1708002555.5
36.27,1708002555.75
36.27,1708002556.0
36.33,1708002556.25
36.33,1708002556.5
36.33,1708002556.75
36.33,1708002557.0
36.27,1708002557.25
36.27,1708002557.5
36.27,1708002557.75
36.27,1708002558.0
36.25,1708002558.25
36.25,1708002558.5
36.25,1708002558.75
36.25,1708002559.0
36.25,1708002559.25
36.25,1708002559.5
36.25,1708002559.75
36.25,1708002560.0
36.23,1708002560.25
36.23,1708002560.5
36.23,1708002560.75
36.23,1708002561.0
36.21,1708002561.25
36.21,1708002561.5
36.21,1708002561.75
36.21,1708002562.0
36.23,1708002562.25
36.23,1708002562.5
36.23,1708002562.75
36.23,1708002563.0
36.23,1708002563.25
36.23,1708002563.5
36.23,1708002563.75
36.23,1708002564.0
36.21,1708002564.25
36.21,1708002564.5
36.21,1708002564.75
36.21,1708002565.0
36.18,1708002565.25
36.18,1708002565.5
36.18,1708002565.75
36.18,1708002566.0
36.18,1708002566.25
36.18,1708002566.5
36.18,1708002566.75
36.18,1708002567.0
36.21,1708002567.25
36.21,1708002567.5
36.21,1708002567.75
36.21,1708002568.0
36.21,1708002568.25
36.21,1708002568.5
36.21,1708002568.75
36.21,1708002569.0
36.21,1708002569.25
36.21,1708002569.5
36.21,1708002569.75
36.21,1708002570.0
36.18,1708002570.25
36.18,1708002570.5
36.18,1708002570.75
36.18,1708002571.0
36.21,1708002571.25
36.21,1708002571.5
36.21,1708002571.75
36.21,1708002572.0
36.18,1708002572.25
36.18,1708002572.5
36.18,1708002572.75
36.18,1708002573.0
36.16,1708002573.25
36.16,1708002573.5
36.16,1708002573.75
36.16,1708002574.0
36.13,1708002574.25
36.13,1708002574.5
36.13,1708002574.75
36.13,1708002575.0
36.03,1708002575.25
36.03,1708002575.5
36.03,1708002575.75
36.03,1708002576.0
35.97,1708002576.25
35.97,1708002576.5
35.97,1708002576.75
35.97,1708002577.0
35.95,1708002577.25
35.95,1708002577.5
35.95,1708002577.75
35.95,1708002578.0
35.91,1708002578.25
35.91,1708002578.5
35.91,1708002578.75
35.91,1708002579.0
35.89,1708002579.25
35.89,1708002579.5
35.89,1708002579.75
35.89,1708002580.0
35.91,1708002580.25
35.91,1708002580.5
35.91,1708002580.75
35.91,1708002581.0
35.89,1708002581.25
35.89,1708002581.5
35.89,1708002581.75
35.89,1708002582.0
35.89,1708002582.25
35.89,1708002582.5
35.89,1708002582.75
35.89,1708002583.0
35.89,1708002583.25
35.89,1708002583.5
35.89,1708002583.75
35.89,1708002584.0
35.91,1708002584.25
35.91,1708002584.5
35.91,1708002584.75
35.91,1708002585.0
35.89,1708002585.25
35.89,1708002585.5
35.89,1708002585.75
35.89,1708002586.0
35.91,1708002586.25
35.91,1708002586.5
35.91,1708002586.75
35.91,1708002587.0
35.87,1708002587.25
35.87,1708002587.5
35.87,1708002587.75
35.87,1708002588.0
35.91,1708002588.25
35.91,1708002588.5
35.91,1708002588.75
35.91,1708002589.0
35.89,1708002589.25
35.89,1708002589.5
35.89,1708002589.75
35.89,1708002590.0
35.87,1708002590.25
35.87,1708002590.5
35.87,1708002590.75
35.87,1708002591.0
35.89,1708002591.25
35.89,1708002591.5
35.89,1708002591.75
35.89,1708002592.0
35.87,1708002592.25
35.87,1708002592.5
35.87,1708002592.75
35.87,1708002593.0
35.89,1708002593.25
35.89,1708002593.5
35.89,1708002593.75
35.89,1708002594.0
