PPG GREEN,time
2148250.0,1708002554.694
2148783.0,1708002554.735
2151142.0,1708002554.814
2152361.0,1708002554.855
2153737.0,1708002554.895
2153863.0,1708002554.934
2153813.0,1708002554.975
2154024.0,1708002555.014
2150088.0,1708002554.774
2154612.0,1708002555.054
2156778.0,1708002555.135
2158024.0,1708002555.175
2155715.0,1708002555.096
2159169.0,1708002555.216
2159852.0,1708002555.255
2161283.0,1708002555.337
2163202.0,1708002555.417
2164402.0,1708002555.459
2166295.0,1708002555.498
2169048.0,1708002555.538
2161978.0,1708002555.377
2160763.0,1708002555.296
2172201.0,1708002555.579
2175535.0,1708002555.619
2179003.0,1708002555.659
2181359.0,1708002555.701
2184968.0,1708002555.74
2187524.0,1708002555.78
2190230.0,1708002555.811
2193582.0,1708002555.85
2195820.0,1708002555.89
2200672.0,1708002555.97
2198523.0,1708002555.931
2200524.0,1708002556.051
2201089.0,1708002556.01
2198066.0,1708002556.091
2193668.0,1708002556.13
2186418.0,1708002556.171
2178050.0,1708002556.21
2170674.0,1708002556.251
2163380.0,1708002556.293
2156247.0,1708002556.331
2151012.0,1708002556.371
2147648.0,1708002556.412
2144364.0,1708002556.451
2141564.0,1708002556.49
2138553.0,1708002556.524
2132877.0,1708002556.598
2135273.0,1708002556.56
2131027.0,1708002556.639
2129387.0,1708002556.679
2128303.0,1708002556.718
2126877.0,1708002556.76
2125442.0,1708002556.799
2124002.0,1708002556.881
2124304.0,1708002556.839
2121998.0,1708002556.92
2120492.0,1708002556.958
2119577.0,1708002556.999
2118974.0,1708002557.038
2118767.0,1708002557.079
2118627.0,1708002557.12
2118695.0,1708002557.156
2118090.0,1708002557.196
2117942.0,1708002557.237
2117860.0,1708002557.277
2118099.0,1708002557.316
2117990.0,1708002557.358
2116788.0,1708002557.397
2114793.0,1708002557.437
2115637.0,1708002557.479
2118401.0,1708002557.517
2121651.0,1708002557.557
2127603.0,1708002557.598
2133089.0,1708002557.637
2138293.0,1708002557.678
2144074.0,1708002557.718
2148964.0,1708002557.757
2151123.0,1708002557.797
2152397.0,1708002557.838
2153583.0,1708002557.878
2154562.0,1708002557.917
2156080.0,1708002557.959
2157603.0,1708002557.998
2158580.0,1708002558.038
2160053.0,1708002558.079
2161719.0,1708002558.118
2163136.0,1708002558.158
2164659.0,1708002558.199
2165963.0,1708002558.238
2165562.0,1708002558.279
2164054.0,1708002558.319
2162676.0,1708002558.358
2162024.0,1708002558.398
2161612.0,1708002558.44
2161933.0,1708002558.479
2162195.0,1708002558.519
2162531.0,1708002558.56
2161966.0,1708002558.6
2161608.0,1708002558.639
2161743.0,1708002558.681
2162211.0,1708002558.719
2162239.0,1708002558.759
2162368.0,1708002558.8
2162390.0,1708002558.839
2162639.0,1708002558.88
