QuestionStartTime,SurveyQuestion,Answer
16:19:52,New ideas and projects sometimes distract me from previous ones.,'Not much like me'
16:20:01,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
16:20:11,I often set a goal but later choose to pursue a different one.,'Mostly like me'
16:20:15,I am a hard worker.,'Mostly like me'
16:20:23,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
16:20:30,I finish whatever I begin.,'Not much like me'
16:20:34,My interests change from year to year.,'Mostly like me'
16:20:39,I am diligent. I never give up.,'Very much like me'
16:20:42,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Mostly like me'
16:20:48,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
16:21:11,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'4'
16:21:17,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'4'
16:21:35,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'4'
16:21:49,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
16:22:08,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
16:22:12,Indicate the extent you have felt DISTRESSED over the past week,'4 - Quite a bit'
16:22:15,Indicate the extent you have felt IRRITABLE over the past week,'4 - Quite a bit'
16:22:21,Indicate the extent you have felt ALERT over the past week,'2 - A little'
16:22:23,Indicate the extent you have felt ASHAMED over the past week,'2 - A little'
16:22:26,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
16:22:29,Indicate the extent you have felt NERVOUS over the past week,'4 - Quite a bit'
16:22:32,Indicate the extent you have felt DETERMINED over the past week,'5 - Extremely'
16:22:36,Indicate the extent you have felt ATTENTIVE over the past week,'3 - Moderately'
16:22:40,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
16:22:42,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
16:22:45,Indicate the extent you have felt AFRAID over the past week,'1 - Very slightly or not at all'
16:22:47,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
16:22:48,Indicate the extent you have felt UPSET over the past week,'2 - A little'
16:22:50,Indicate the extent you have felt STRONG over the past week,'5 - Extremely'
16:22:53,Indicate the extent you have felt GUILTY over the past week,'2 - A little'
16:22:55,Indicate the extent you have felt SCARED over the past week,'1 - Very slightly or not at all'
16:22:57,Indicate the extent you have felt HOSTILE over the past week,'2 - A little'
16:22:59,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
16:23:01,Indicate the extent you have felt PROUD over the past week,'3 - Moderately'
16:23:11, At the end of my work day I am exhausted,'3 - Sometimes'
16:23:19,"I find it hard to show interest in other people, when I have just come home from work",'3 - Sometimes'
16:23:26,It takes me over an hour before I am fully recovered after a work day,'4 - Generally'
