PPG GREEN,time
2079998.0,1708003140.036
2080178.0,1708003140.076
2080165.0,1708003140.115
2080316.0,1708003140.155
2080453.0,1708003140.196
2079310.0,1708003140.236
2076984.0,1708003140.275
2074277.0,1708003140.316
2072365.0,1708003140.355
2070890.0,1708003140.395
2070730.0,1708003140.438
2070877.0,1708003140.476
2071233.0,1708003140.516
2071069.0,1708003140.557
2070755.0,1708003140.596
2070348.0,1708003140.64
2070359.0,1708003140.68
2070774.0,1708003140.719
2070978.0,1708003140.759
2070708.0,1708003140.8
2071080.0,1708003140.84
2071602.0,1708003140.879
2072444.0,1708003140.92
2073185.0,1708003140.959
2072896.0,1708003141.0
2071641.0,1708003141.042
2070941.0,1708003141.08
2070819.0,1708003141.12
2070827.0,1708003141.161
2071070.0,1708003141.2
2072015.0,1708003141.241
2072857.0,1708003141.281
2073561.0,1708003141.32
2073670.0,1708003141.36
2074115.0,1708003141.402
2074742.0,1708003141.442
2075395.0,1708003141.481
2076380.0,1708003141.522
2077314.0,1708003141.561
2078443.0,1708003141.601
2079671.0,1708003141.643
2080844.0,1708003141.681
2081270.0,1708003141.721
2080776.0,1708003141.762
2079676.0,1708003141.802
2078638.0,1708003141.843
2078053.0,1708003141.883
2077906.0,1708003141.922
2078170.0,1708003141.962
2078618.0,1708003142.003
2078824.0,1708003142.043
2078914.0,1708003142.082
2079255.0,1708003142.123
2079358.0,1708003142.162
2079834.0,1708003142.202
2080467.0,1708003142.244
2081041.0,1708003142.282
2081786.0,1708003142.323
2082582.0,1708003142.364
2083490.0,1708003142.403
2083912.0,1708003142.444
2083317.0,1708003142.484
2082072.0,1708003142.523
2080568.0,1708003142.563
2079478.0,1708003142.604
2078835.0,1708003142.644
2078722.0,1708003142.683
2078831.0,1708003142.724
2078785.0,1708003142.763
2078904.0,1708003142.804
2078773.0,1708003142.846
2078708.0,1708003142.884
2078739.0,1708003142.924
2079124.0,1708003142.965
2079718.0,1708003143.004
2080216.0,1708003143.045
2080768.0,1708003143.085
2081409.0,1708003143.124
2082037.0,1708003143.164
2082714.0,1708003143.206
2083334.0,1708003143.285
2079498.0,1708003143.365
2075452.0,1708003143.447
2081627.0,1708003143.326
2074287.0,1708003143.485
2077497.0,1708003143.405
2083503.0,1708003143.246
2073684.0,1708003143.525
2072956.0,1708003143.566
2072196.0,1708003143.606
2070634.0,1708003143.687
2071496.0,1708003143.647
2069784.0,1708003143.726
2069273.0,1708003143.766
2069161.0,1708003143.847
2069021.0,1708003143.886
2069132.0,1708003143.927
2069186.0,1708003143.807
2069166.0,1708003143.967
2069286.0,1708003144.007
2069318.0,1708003144.049
2069439.0,1708003144.087
2069706.0,1708003144.127
2068103.0,1708003144.207
2069756.0,1708003144.168
2065107.0,1708003144.248
2061842.0,1708003144.288
2058914.0,1708003144.327
2056942.0,1708003144.368
2055516.0,1708003144.409
2054785.0,1708003144.449
2053916.0,1708003144.488
2052681.0,1708003144.529
2051421.0,1708003144.568
2050513.0,1708003144.608
2049603.0,1708003144.65
2049310.0,1708003144.688
2048955.0,1708003144.728
2048916.0,1708003144.77
2049094.0,1708003144.809
2049219.0,1708003144.85
2049318.0,1708003144.89
2049626.0,1708003144.929
2049984.0,1708003144.969
2050219.0,1708003145.01
2048682.0,1708003145.05
2045734.0,1708003145.089
2042686.0,1708003145.131
2040029.0,1708003145.17
2038386.0,1708003145.21
2037797.0,1708003145.252
2037740.0,1708003145.29
2037656.0,1708003145.33
2037253.0,1708003145.371
2036896.0,1708003145.41
2036458.0,1708003145.451
2036634.0,1708003145.492
2036709.0,1708003145.531
2037503.0,1708003145.571
2038254.0,1708003145.612
2038944.0,1708003145.652
2039889.0,1708003145.691
2040887.0,1708003145.732
2041933.0,1708003145.771
2043001.0,1708003145.811
2043707.0,1708003145.854
2041912.0,1708003145.892
2039119.0,1708003145.932
2036642.0,1708003145.973
2034512.0,1708003146.012
2033379.0,1708003146.053
2033148.0,1708003146.093
2033558.0,1708003146.132
2034047.0,1708003146.172
2034245.0,1708003146.213
2034104.0,1708003146.253
2034473.0,1708003146.293
2034957.0,1708003146.334
2035755.0,1708003146.373
2036615.0,1708003146.413
2037835.0,1708003146.455
2039266.0,1708003146.493
2040514.0,1708003146.533
2041755.0,1708003146.575
2043236.0,1708003146.614
2044428.0,1708003146.654
2045866.0,1708003146.695
2047295.0,1708003146.734
2047054.0,1708003146.774
2045082.0,1708003146.815
2043263.0,1708003146.855
2041529.0,1708003146.894
2040579.0,1708003146.935
2040295.0,1708003146.974
2040817.0,1708003147.015
2041523.0,1708003147.056
2041935.0,1708003147.095
2042350.0,1708003147.135
2042834.0,1708003147.176
2043286.0,1708003147.215
2044092.0,1708003147.256
2045163.0,1708003147.298
2046439.0,1708003147.337
2047661.0,1708003147.37
2049193.0,1708003147.411
2050497.0,1708003147.451
2051891.0,1708003147.49
2053342.0,1708003147.532
2054655.0,1708003147.571
2056069.0,1708003147.611
2057483.0,1708003147.653
2058971.0,1708003147.691
2060279.0,1708003147.731
2060526.0,1708003147.772
2059100.0,1708003147.811
2057803.0,1708003147.852
2056757.0,1708003147.893
2056424.0,1708003147.932
2056368.0,1708003147.972
2056893.0,1708003148.013
2057651.0,1708003148.053
2057902.0,1708003148.092
2058101.0,1708003148.133
2058513.0,1708003148.172
2058898.0,1708003148.212
2059445.0,1708003148.254
2060218.0,1708003148.293
2061040.0,1708003148.333
2061895.0,1708003148.374
2062970.0,1708003148.413
2063900.0,1708003148.454
2065027.0,1708003148.494
2065926.0,1708003148.533
2066956.0,1708003148.573
2068049.0,1708003148.614
2069072.0,1708003148.654
2070223.0,1708003148.694
2071393.0,1708003148.735
2072264.0,1708003148.774
2071540.0,1708003148.814
2070519.0,1708003148.856
2069674.0,1708003148.894
2069145.0,1708003148.934
2069110.0,1708003148.976
2069445.0,1708003149.015
2070305.0,1708003149.055
2070733.0,1708003149.096
2070865.0,1708003149.135
2071207.0,1708003149.175
2071530.0,1708003149.216
2071886.0,1708003149.256
2072538.0,1708003149.295
2073344.0,1708003149.334
2074212.0,1708003149.369
2075079.0,1708003149.402
2075836.0,1708003149.442
2076773.0,1708003149.478
2077641.0,1708003149.518
2078482.0,1708003149.56
2079390.0,1708003149.599
2080308.0,1708003149.64
2081421.0,1708003149.679
2082267.0,1708003149.718
2081668.0,1708003149.759
2080384.0,1708003149.8
2078955.0,1708003149.839
2078002.0,1708003149.879
2077429.0,1708003149.92
2077204.0,1708003149.959
2077493.0,1708003149.999
2077560.0,1708003150.041
2077581.0,1708003150.079
2077552.0,1708003150.119
2077366.0,1708003150.16
2077341.0,1708003150.199
2077616.0,1708003150.24
2077994.0,1708003150.281
2078313.0,1708003150.32
2078744.0,1708003150.36
2079441.0,1708003150.401
2079964.0,1708003150.441
2080710.0,1708003150.48
2081121.0,1708003150.521
2081671.0,1708003150.558
2082169.0,1708003150.599
2082818.0,1708003150.64
2083183.0,1708003150.679
2082055.0,1708003150.719
2079875.0,1708003150.76
2078069.0,1708003150.8
2076351.0,1708003150.841
2075256.0,1708003150.881
2074652.0,1708003150.918
2074399.0,1708003150.959
2074225.0,1708003151.0
2073643.0,1708003151.04
2073126.0,1708003151.07
2072632.0,1708003151.111
2072228.0,1708003151.15
2072103.0,1708003151.19
2071880.0,1708003151.232
2071929.0,1708003151.271
2072334.0,1708003151.311
2072500.0,1708003151.352
2072881.0,1708003151.391
2073138.0,1708003151.432
2073451.0,1708003151.472
2073741.0,1708003151.511
2073956.0,1708003151.551
2074458.0,1708003151.592
2074813.0,1708003151.632
2074109.0,1708003151.672
2071731.0,1708003151.713
2069522.0,1708003151.752
2067431.0,1708003151.788
2065988.0,1708003151.823
2065112.0,1708003151.859
2064816.0,1708003151.9
2064685.0,1708003151.941
2063940.0,1708003151.98
2063300.0,1708003152.021
2062405.0,1708003152.062
2062040.0,1708003152.101
2061683.0,1708003152.141
2061655.0,1708003152.182
2061745.0,1708003152.222
2061816.0,1708003152.26
2062128.0,1708003152.301
