PPG GREEN,time
1806547.0,1638177956.592
1802416.0,1638177956.631
1797009.0,1638177956.672
1792982.0,1638177956.713
1790485.0,1638177956.752
1789135.0,1638177956.792
1788726.0,1638177956.833
1788655.0,1638177956.873
1788349.0,1638177956.912
1788229.0,1638177956.953
1788202.0,1638177956.992
1788905.0,1638177957.033
1790205.0,1638177957.074
1791307.0,1638177957.113
1792977.0,1638177957.153
1794646.0,1638177957.194
1796718.0,1638177957.233
1798813.0,1638177957.274
1800543.0,1638177957.314
1802617.0,1638177957.353
1805030.0,1638177957.393
1807259.0,1638177957.435
1809540.0,1638177957.474
1812064.0,1638177957.514
1814403.0,1638177957.555
1814155.0,1638177957.594
1809823.0,1638177957.634
1805844.0,1638177957.676
1803161.0,1638177957.714
1801592.0,1638177957.754
1800651.0,1638177957.796
1800854.0,1638177957.835
1801612.0,1638177957.875
1802000.0,1638177957.916
1802311.0,1638177957.955
1802123.0,1638177957.995
1800666.0,1638177958.036
1798261.0,1638177958.076
1797225.0,1638177958.115
1797932.0,1638177958.157
1801750.0,1638177958.196
1804625.0,1638177958.236
1806683.0,1638177958.278
1809443.0,1638177958.316
1815743.0,1638177958.356
1823765.0,1638177958.397
1832146.0,1638177958.436
1838660.0,1638177958.477
1843424.0,1638177958.518
1849015.0,1638177958.557
1852215.0,1638177958.597
1847343.0,1638177958.638
1844362.0,1638177958.678
1838527.0,1638177958.717
1833869.0,1638177958.758
1836847.0,1638177958.797
1839538.0,1638177958.837
1839185.0,1638177958.879
1836438.0,1638177958.918
1833042.0,1638177958.958
1833042.0,1638177958.999
1833604.0,1638177959.038
1832406.0,1638177959.079
1831814.0,1638177959.119
1832309.0,1638177959.158
1831399.0,1638177959.198
1830264.0,1638177959.24
1829628.0,1638177959.28
1829592.0,1638177959.319
1829372.0,1638177959.36
1829382.0,1638177959.399
1829565.0,1638177959.439
1829676.0,1638177959.481
1830142.0,1638177959.52
1830556.0,1638177959.56
1828015.0,1638177959.601
1821935.0,1638177959.64
1815608.0,1638177959.682
1810954.0,1638177959.721
1808394.0,1638177959.76
1805828.0,1638177959.8
1804641.0,1638177959.841
1803575.0,1638177959.881
1802494.0,1638177959.921
1801376.0,1638177959.962
1799848.0,1638177960.001
1798354.0,1638177960.041
1797489.0,1638177960.083
1796774.0,1638177960.121
1797363.0,1638177960.161
1797902.0,1638177960.202
1798708.0,1638177960.241
1799650.0,1638177960.283
1800250.0,1638177960.323
1800574.0,1638177960.362
1801342.0,1638177960.402
1802110.0,1638177960.443
1802222.0,1638177960.483
1797699.0,1638177960.522
1792353.0,1638177960.563
1787604.0,1638177960.602
1784795.0,1638177960.642
1782724.0,1638177960.684
1781134.0,1638177960.722
1779633.0,1638177960.804
1780458.0,1638177960.763
1778733.0,1638177960.843
1778310.0,1638177960.884
1778375.0,1638177960.924
1778776.0,1638177960.963
1778955.0,1638177961.003
1779806.0,1638177961.044
1780591.0,1638177961.084
1780963.0,1638177961.123
1781769.0,1638177961.164
1782901.0,1638177961.203
1783831.0,1638177961.243
1785405.0,1638177961.285
1787122.0,1638177961.324
1788515.0,1638177961.364
1787036.0,1638177961.405
1782129.0,1638177961.444
1777089.0,1638177961.485
1773939.0,1638177961.525
1771597.0,1638177961.564
1769709.0,1638177961.604
1768801.0,1638177961.645
1768552.0,1638177961.685
1767972.0,1638177961.724
1767582.0,1638177961.765
1767520.0,1638177961.804
1767943.0,1638177961.844
1769356.0,1638177961.886
1770535.0,1638177961.925
1772174.0,1638177961.965
1773558.0,1638177962.006
1775065.0,1638177962.045
1776968.0,1638177962.086
1779166.0,1638177962.126
1781801.0,1638177962.165
1784280.0,1638177962.205
1786728.0,1638177962.246
1788702.0,1638177962.286
1786804.0,1638177962.325
1783921.0,1638177962.366
1782164.0,1638177962.406
1781438.0,1638177962.446
1781230.0,1638177962.488
1781144.0,1638177962.526
1782394.0,1638177962.566
1783784.0,1638177962.607
1784783.0,1638177962.646
1785432.0,1638177962.687
1786584.0,1638177962.727
1787854.0,1638177962.766
1789143.0,1638177962.806
1791487.0,1638177962.847
1793626.0,1638177962.887
1796109.0,1638177962.927
1798534.0,1638177962.968
1800399.0,1638177963.007
1802693.0,1638177963.047
1805373.0,1638177963.089
1807597.0,1638177963.127
1810201.0,1638177963.167
1811669.0,1638177963.208
1810675.0,1638177963.247
1809430.0,1638177963.288
1809427.0,1638177963.328
1810139.0,1638177963.367
1810739.0,1638177963.408
1812167.0,1638177963.449
1814379.0,1638177963.528
1815795.0,1638177963.569
1816618.0,1638177963.608
1817742.0,1638177963.648
1819266.0,1638177963.69
1821923.0,1638177963.728
1827979.0,1638177963.768
1836298.0,1638177963.809
1844113.0,1638177963.848
1851451.0,1638177963.89
1879735.0,1638177964.009
1868525.0,1638177963.969
1893070.0,1638177964.05
1908359.0,1638177964.09
1859199.0,1638177963.93
1923200.0,1638177964.129
1942323.0,1638177964.17
1966042.0,1638177964.209
1995644.0,1638177964.249
