QuestionStartTime,SurveyQuestion,Answer
12:30:13,New ideas and projects sometimes distract me from previous ones.,'Somewhat like me'
12:30:21,Setbacks don’t discourage me. I don’t give up easily.,'Mostly like me'
12:30:27,I often set a goal but later choose to pursue a different one.,'Not much like me'
12:30:30,I am a hard worker.,'Mostly like me'
12:30:38,I have difficulty maintaining my focus on projects that take more than a few months to complete.,'Not much like me'
12:30:42,I finish whatever I begin.,'Somewhat like me'
12:30:47,My interests change from year to year.,'Mostly like me'
12:30:52,I am diligent. I never give up.,'Mostly like me'
12:31:00,I have been obsessed with a certain idea or project for a short time but later lost interest.,'Not much like me'
12:31:04,I have overcome setbacks to conquer an important challenge.,'Mostly like me'
12:31:16,"In general, I consider myself (1 - not a very happy person, 7 - a very happy person):",'6'
12:31:23,"Compared with most of my peers, I consider myself (1 - less happy, 7 - more happy):",'5'
12:31:32,"Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'5'
12:31:40,"Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extent does this characterization describe you? (1 - not at all, 7 - a great deal)",'2'
12:31:54,Indicate the extent you have felt INTERESTED over the past week,'4 - Quite a bit'
12:32:00,Indicate the extent you have felt DISTRESSED over the past week,'3 - Moderately'
12:32:02,Indicate the extent you have felt IRRITABLE over the past week,'3 - Moderately'
12:32:04,Indicate the extent you have felt ALERT over the past week,'4 - Quite a bit'
12:32:07,Indicate the extent you have felt ASHAMED over the past week,'1 - Very slightly or not at all'
12:32:11,Indicate the extent you have felt INSPIRED over the past week,'4 - Quite a bit'
12:32:14,Indicate the extent you have felt NERVOUS over the past week,'3 - Moderately'
12:32:16,Indicate the extent you have felt DETERMINED over the past week,'4 - Quite a bit'
12:32:19,Indicate the extent you have felt ATTENTIVE over the past week,'4 - Quite a bit'
12:32:22,Indicate the extent you have felt JITTERY over the past week,'3 - Moderately'
12:32:24,Indicate the extent you have felt ACTIVE over the past week,'4 - Quite a bit'
12:32:26,Indicate the extent you have felt AFRAID over the past week,'2 - A little'
12:32:28,Indicate the extent you have felt EXCITED over the past week,'4 - Quite a bit'
12:32:33,Indicate the extent you have felt UPSET over the past week,'2 - A little'
12:32:37,Indicate the extent you have felt STRONG over the past week,'3 - Moderately'
12:32:40,Indicate the extent you have felt GUILTY over the past week,'1 - Very slightly or not at all'
12:32:43,Indicate the extent you have felt SCARED over the past week,'2 - A little'
12:32:45,Indicate the extent you have felt HOSTILE over the past week,'1 - Very slightly or not at all'
12:32:47,Indicate the extent you have felt ENTHUSIASTIC over the past week,'4 - Quite a bit'
12:32:49,Indicate the extent you have felt PROUD over the past week,'4 - Quite a bit'
12:32:59, At the end of my work day I am exhausted,'3 - Sometimes'
12:33:05,"I find it hard to show interest in other people, when I have just come home from work",'2 - Rarely'
12:33:11,It takes me over an hour before I am fully recovered after a work day,'2 - Rarely'
