bvp,time
81.18,1636977839.0
81.78,1636977839.015625
84.45,1636977839.03125
89.16,1636977839.046875
95.33,1636977839.0625
101.87,1636977839.078125
107.28,1636977839.09375
109.86,1636977839.109375
108.04,1636977839.125
100.78,1636977839.140625
87.96,1636977839.15625
70.58,1636977839.171875
50.6,1636977839.1875
30.56,1636977839.203125
12.93,1636977839.21875
-0.49,1636977839.234375
-8.8,1636977839.25
-12.12,1636977839.265625
-11.25,1636977839.28125
-7.36,1636977839.296875
-1.57,1636977839.3125
5.13,1636977839.328125
11.98,1636977839.34375
18.42,1636977839.359375
23.98,1636977839.375
28.22,1636977839.390625
30.87,1636977839.40625
31.8,1636977839.421875
31.07,1636977839.4375
28.94,1636977839.453125
25.75,1636977839.46875
21.91,1636977839.484375
17.76,1636977839.5
13.61,1636977839.515625
9.71,1636977839.53125
6.26,1636977839.546875
3.35,1636977839.5625
1.05,1636977839.578125
-0.73,1636977839.59375
-2.16,1636977839.609375
-3.49,1636977839.625
-5.0,1636977839.640625
-6.91,1636977839.65625
-9.43,1636977839.671875
-12.63,1636977839.6875
-16.46,1636977839.703125
-20.68,1636977839.71875
-24.87,1636977839.734375
-28.49,1636977839.75
-30.95,1636977839.765625
-31.85,1636977839.78125
-31.09,1636977839.796875
-29.01,1636977839.8125
-26.2,1636977839.828125
-23.37,1636977839.84375
-21.01,1636977839.859375
-19.25,1636977839.875
-17.91,1636977839.890625
-16.66,1636977839.90625
-15.25,1636977839.921875
-13.63,1636977839.9375
-11.97,1636977839.953125
-10.54,1636977839.96875
-9.47,1636977839.984375
-8.7,1636977840.0
-7.97,1636977840.015625
-6.88,1636977840.03125
-5.12,1636977840.046875
-2.53,1636977840.0625
0.9,1636977840.078125
5.09,1636977840.09375
10.02,1636977840.109375
15.77,1636977840.125
22.42,1636977840.140625
29.96,1636977840.15625
38.08,1636977840.171875
46.18,1636977840.1875
53.49,1636977840.203125
59.29,1636977840.21875
63.25,1636977840.234375
65.38,1636977840.25
65.97,1636977840.265625
65.15,1636977840.28125
62.54,1636977840.296875
57.1,1636977840.3125
47.15,1636977840.328125
30.83,1636977840.34375
6.57,1636977840.359375
-26.14,1636977840.375
-66.32,1636977840.390625
-111.29,1636977840.40625
-157.01,1636977840.421875
-198.92,1636977840.4375
-233.17,1636977840.453125
-257.55,1636977840.46875
-271.96,1636977840.484375
-278.05,1636977840.5
-278.31,1636977840.515625
-275.01,1636977840.53125
-269.66,1636977840.546875
-262.91,1636977840.5625
-255.0,1636977840.578125
-246.21,1636977840.59375
-237.06,1636977840.609375
-228.09,1636977840.625
-219.59,1636977840.640625
-211.34,1636977840.65625
-202.83,1636977840.671875
-193.5,1636977840.6875
-183.22,1636977840.703125
-172.42,1636977840.71875
-162.02,1636977840.734375
