bvp,time
169.08,1596631421.59375
170.14,1596631421.609375
167.21,1596631421.625
160.57,1596631421.640625
150.89,1596631421.65625
139.53,1596631421.671875
128.38,1596631421.6875
119.36,1596631421.703125
113.87,1596631421.71875
112.49,1596631421.734375
115.01,1596631421.75
120.57,1596631421.765625
127.83,1596631421.78125
135.17,1596631421.796875
141.07,1596631421.8125
144.6,1596631421.828125
145.79,1596631421.84375
145.54,1596631421.859375
145.1,1596631421.875
145.28,1596631421.890625
145.92,1596631421.90625
146.05,1596631421.921875
144.58,1596631421.9375
141.1,1596631421.953125
136.26,1596631421.96875
131.41,1596631421.984375
127.81,1596631422.0
125.93,1596631422.015625
125.22,1596631422.03125
124.63,1596631422.046875
123.21,1596631422.0625
120.59,1596631422.078125
116.82,1596631422.09375
111.95,1596631422.109375
105.73,1596631422.125
97.78,1596631422.140625
88.13,1596631422.15625
77.68,1596631422.171875
68.02,1596631422.1875
60.62,1596631422.203125
55.73,1596631422.21875
51.94,1596631422.234375
46.7,1596631422.25
37.6,1596631422.265625
23.82,1596631422.28125
6.66,1596631422.296875
-10.96,1596631422.3125
-25.92,1596631422.328125
-36.24,1596631422.34375
-41.75,1596631422.359375
-43.75,1596631422.375
-44.08,1596631422.390625
-44.27,1596631422.40625
-45.02,1596631422.421875
-46.3,1596631422.4375
-47.73,1596631422.453125
-48.86,1596631422.46875
-49.35,1596631422.484375
-48.87,1596631422.5
-47.02,1596631422.515625
-43.29,1596631422.53125
-37.24,1596631422.546875
-28.67,1596631422.5625
-17.74,1596631422.578125
-5.02,1596631422.59375
8.57,1596631422.609375
21.87,1596631422.625
33.63,1596631422.640625
42.74,1596631422.65625
48.5,1596631422.671875
50.74,1596631422.6875
49.87,1596631422.703125
46.79,1596631422.71875
42.56,1596631422.734375
38.19,1596631422.75
34.48,1596631422.765625
31.91,1596631422.78125
30.63,1596631422.796875
30.31,1596631422.8125
30.26,1596631422.828125
29.39,1596631422.84375
26.61,1596631422.859375
21.13,1596631422.875
12.8,1596631422.890625
2.1,1596631422.90625
-10.23,1596631422.921875
-23.75,1596631422.9375
-38.76,1596631422.953125
-56.36,1596631422.96875
-78.08,1596631422.984375
-105.39,1596631423.0
-139.46,1596631423.015625
-181.41,1596631423.03125
-232.34,1596631423.046875
-292.98,1596631423.0625
-362.39,1596631423.078125
-436.65,1596631423.09375
-508.44,1596631423.109375
-568.31,1596631423.125
-607.39,1596631423.140625
-620.35,1596631423.15625
-606.96,1596631423.171875
-571.22,1596631423.1875
-518.87,1596631423.203125
-454.78,1596631423.21875
-382.21,1596631423.234375
-304.3,1596631423.25
-226.32,1596631423.265625
-156.67,1596631423.28125
-105.11,1596631423.296875
-78.86,1596631423.3125
-78.82,1596631423.328125
-98.06,1596631423.34375
-124.3,1596631423.359375
-145.04,1596631423.375
-152.33,1596631423.390625
-145.31,1596631423.40625
-129.12,1596631423.421875
-111.28,1596631423.4375
-97.91,1596631423.453125
-92.1,1596631423.46875
-94.63,1596631423.484375
-105.72,1596631423.5
-125.89,1596631423.515625
-154.99,1596631423.53125
-190.09,1596631423.546875
-224.22,1596631423.5625
-247.25,1596631423.578125
-249.12,1596631423.59375
-223.81,1596631423.609375
-171.84,1596631423.625
-100.27,1596631423.640625
-20.22,1596631423.65625
56.71,1596631423.671875
121.33,1596631423.6875
168.44,1596631423.703125
196.81,1596631423.71875
208.46,1596631423.734375
207.62,1596631423.75
199.57,1596631423.765625
189.5,1596631423.78125
181.39,1596631423.796875
177.24,1596631423.8125
176.82,1596631423.828125
178.4,1596631423.84375
179.79,1596631423.859375
179.12,1596631423.875
175.54,1596631423.890625
169.34,1596631423.90625
161.62,1596631423.921875
153.84,1596631423.9375
147.28,1596631423.953125
142.54,1596631423.96875
139.43,1596631423.984375
137.12,1596631424.0
134.64,1596631424.015625
131.32,1596631424.03125
126.89,1596631424.046875
121.48,1596631424.0625
115.3,1596631424.078125
108.49,1596631424.09375
101.11,1596631424.109375
93.27,1596631424.125
85.2,1596631424.140625
77.24,1596631424.15625
69.74,1596631424.171875
62.86,1596631424.1875
56.58,1596631424.203125
50.69,1596631424.21875
44.94,1596631424.234375
39.23,1596631424.25
33.65,1596631424.265625
28.46,1596631424.28125
23.95,1596631424.296875
20.33,1596631424.3125
17.54,1596631424.328125
15.22,1596631424.34375
12.79,1596631424.359375
9.7,1596631424.375
5.65,1596631424.390625
0.81,1596631424.40625
-4.24,1596631424.421875
-8.72,1596631424.4375
-12.06,1596631424.453125
-14.08,1596631424.46875
-15.1,1596631424.484375
-15.77,1596631424.5
-16.75,1596631424.515625
-18.51,1596631424.53125
-21.14,1596631424.546875
-24.42,1596631424.5625
-27.94,1596631424.578125
-31.31,1596631424.59375
-34.29,1596631424.609375
-36.86,1596631424.625
-39.17,1596631424.640625
-41.45,1596631424.65625
-43.93,1596631424.671875
-46.76,1596631424.6875
-50.01,1596631424.703125
-53.63,1596631424.71875
-57.49,1596631424.734375
-61.39,1596631424.75
-64.99,1596631424.765625
-68.03,1596631424.78125
-70.32,1596631424.796875
-72.02,1596631424.8125
-73.59,1596631424.828125
-75.67,1596631424.84375
-78.79,1596631424.859375
-82.99,1596631424.875
-87.67,1596631424.890625
-91.69,1596631424.90625
-93.72,1596631424.921875
-92.76,1596631424.9375
-88.51,1596631424.953125
-81.45,1596631424.96875
-72.71,1596631424.984375
-63.59,1596631425.0
-55.27,1596631425.015625
-48.51,1596631425.03125
-43.68,1596631425.046875
-40.87,1596631425.0625
-39.98,1596631425.078125
-40.82,1596631425.09375
-43.06,1596631425.109375
-46.1,1596631425.125
-49.13,1596631425.140625
-51.2,1596631425.15625
-51.49,1596631425.171875
-49.43,1596631425.1875
-44.89,1596631425.203125
-38.12,1596631425.21875
-29.62,1596631425.234375
-20.04,1596631425.25
-10.04,1596631425.265625
-0.15,1596631425.28125
9.26,1596631425.296875
18.0,1596631425.3125
26.05,1596631425.328125
33.52,1596631425.34375
40.49,1596631425.359375
46.92,1596631425.375
52.61,1596631425.390625
57.26,1596631425.40625
60.66,1596631425.421875
62.82,1596631425.4375
64.01,1596631425.453125
64.68,1596631425.46875
65.24,1596631425.484375
65.9,1596631425.5
66.56,1596631425.515625
66.91,1596631425.53125
66.6,1596631425.546875
65.46,1596631425.5625
63.56,1596631425.578125
61.2,1596631425.59375
58.74,1596631425.609375
56.48,1596631425.625
54.47,1596631425.640625
52.58,1596631425.65625
50.48,1596631425.671875
47.83,1596631425.6875
44.38,1596631425.703125
40.15,1596631425.71875
35.4,1596631425.734375
30.59,1596631425.75
26.2,1596631425.765625
22.45,1596631425.78125
19.19,1596631425.796875
15.92,1596631425.8125
11.99,1596631425.828125
6.84,1596631425.84375
0.23,1596631425.859375
-7.57,1596631425.875
-15.79,1596631425.890625
-23.27,1596631425.90625
-28.67,1596631425.921875
-30.85,1596631425.9375
-29.17,1596631425.953125
-23.8,1596631425.96875
-15.71,1596631425.984375
-6.4,1596631426.0
2.54,1596631426.015625
9.9,1596631426.03125
15.15,1596631426.046875
18.4,1596631426.0625
20.12,1596631426.078125
20.89,1596631426.09375
21.13,1596631426.109375
21.17,1596631426.125
21.25,1596631426.140625
21.58,1596631426.15625
22.34,1596631426.171875
23.55,1596631426.1875
25.05,1596631426.203125
26.5,1596631426.21875
27.53,1596631426.234375
27.92,1596631426.25
27.8,1596631426.265625
27.63,1596631426.28125
28.08,1596631426.296875
29.75,1596631426.3125
32.89,1596631426.328125
37.23,1596631426.34375
42.02,1596631426.359375
46.32,1596631426.375
49.33,1596631426.390625
50.66,1596631426.40625
50.41,1596631426.421875
49.03,1596631426.4375
47.11,1596631426.453125
45.1,1596631426.46875
43.2,1596631426.484375
41.32,1596631426.5
39.22,1596631426.515625
36.67,1596631426.53125
33.56,1596631426.546875
30.01,1596631426.5625
26.26,1596631426.578125
22.61,1596631426.59375
19.19,1596631426.609375
15.95,1596631426.625
12.72,1596631426.640625
9.28,1596631426.65625
5.55,1596631426.671875
1.61,1596631426.6875
-2.37,1596631426.703125
-6.15,1596631426.71875
-9.58,1596631426.734375
-12.55,1596631426.75
-15.05,1596631426.765625
-17.13,1596631426.78125
-18.97,1596631426.796875
-20.85,1596631426.8125
-23.19,1596631426.828125
-26.38,1596631426.84375
-30.59,1596631426.859375
-35.57,1596631426.875
-40.59,1596631426.890625
-44.52,1596631426.90625
-46.2,1596631426.921875
-44.77,1596631426.9375
-40.04,1596631426.953125
-32.57,1596631426.96875
-23.48,1596631426.984375
-14.11,1596631427.0
-5.62,1596631427.015625
1.3,1596631427.03125
6.49,1596631427.046875
10.19,1596631427.0625
12.8,1596631427.078125
14.72,1596631427.09375
16.2,1596631427.109375
17.4,1596631427.125
18.46,1596631427.140625
19.51,1596631427.15625
20.56,1596631427.171875
21.64,1596631427.1875
22.67,1596631427.203125
23.56,1596631427.21875
24.28,1596631427.234375
24.86,1596631427.25
25.36,1596631427.265625
25.84,1596631427.28125
26.32,1596631427.296875
26.77,1596631427.3125
27.17,1596631427.328125
27.5,1596631427.34375
27.72,1596631427.359375
27.78,1596631427.375
27.52,1596631427.390625
26.81,1596631427.40625
25.59,1596631427.421875
23.94,1596631427.4375
22.03,1596631427.453125
20.06,1596631427.46875
18.12,1596631427.484375
16.17,1596631427.5
14.17,1596631427.515625
12.15,1596631427.53125
10.28,1596631427.546875
8.7,1596631427.5625
7.47,1596631427.578125
6.42,1596631427.59375
5.27,1596631427.609375
3.76,1596631427.625
1.79,1596631427.640625
-0.43,1596631427.65625
-2.61,1596631427.671875
-4.52,1596631427.6875
-6.15,1596631427.703125
-7.75,1596631427.71875
-9.72,1596631427.734375
-12.45,1596631427.75
-16.16,1596631427.765625
-20.77,1596631427.78125
-25.92,1596631427.796875
-30.95,1596631427.8125
-34.98,1596631427.828125
-37.11,1596631427.84375
-36.66,1596631427.859375
-33.41,1596631427.875
-27.65,1596631427.890625
-20.2,1596631427.90625
-12.09,1596631427.921875
-4.31,1596631427.9375
2.37,1596631427.953125
7.65,1596631427.96875
11.52,1596631427.984375
14.24,1596631428.0
16.17,1596631428.015625
17.65,1596631428.03125
18.87,1596631428.046875
19.9,1596631428.0625
20.65,1596631428.078125
20.99,1596631428.09375
20.9,1596631428.109375
20.47,1596631428.125
19.93,1596631428.140625
19.57,1596631428.15625
19.53,1596631428.171875
19.79,1596631428.1875
20.18,1596631428.203125
20.54,1596631428.21875
20.81,1596631428.234375
21.08,1596631428.25
21.46,1596631428.265625
21.94,1596631428.28125
22.34,1596631428.296875
22.41,1596631428.3125
21.91,1596631428.328125
20.79,1596631428.34375
19.18,1596631428.359375
17.34,1596631428.375
15.44,1596631428.390625
13.56,1596631428.40625
11.7,1596631428.421875
9.83,1596631428.4375
8.01,1596631428.453125
6.26,1596631428.46875
4.55,1596631428.484375
2.77,1596631428.5
0.72,1596631428.515625
-1.71,1596631428.53125
-4.5,1596631428.546875
-7.43,1596631428.5625
-10.26,1596631428.578125
-12.8,1596631428.59375
-14.99,1596631428.609375
-16.96,1596631428.625
-18.94,1596631428.640625
-21.15,1596631428.65625
-23.83,1596631428.671875
-27.19,1596631428.6875
-31.33,1596631428.703125
-36.11,1596631428.71875
-41.03,1596631428.734375
-45.24,1596631428.75
-47.63,1596631428.765625
-47.24,1596631428.78125
-43.62,1596631428.796875
-37.02,1596631428.8125
-28.4,1596631428.828125
-19.09,1596631428.84375
-10.4,1596631428.859375
-3.25,1596631428.875
2.02,1596631428.890625
5.68,1596631428.90625
8.31,1596631428.921875
10.57,1596631428.9375
12.91,1596631428.953125
15.42,1596631428.96875
17.89,1596631428.984375
19.99,1596631429.0
21.45,1596631429.015625
22.19,1596631429.03125
22.37,1596631429.046875
22.27,1596631429.0625
22.22,1596631429.078125
22.38,1596631429.09375
22.85,1596631429.109375
23.59,1596631429.125
24.55,1596631429.140625
25.66,1596631429.15625
26.82,1596631429.171875
27.88,1596631429.1875
28.63,1596631429.203125
28.9,1596631429.21875
28.57,1596631429.234375
27.61,1596631429.25
26.13,1596631429.265625
24.26,1596631429.28125
22.18,1596631429.296875
20.04,1596631429.3125
17.96,1596631429.328125
15.98,1596631429.34375
14.07,1596631429.359375
12.17,1596631429.375
10.23,1596631429.390625
8.22,1596631429.40625
6.21,1596631429.421875
4.29,1596631429.4375
2.53,1596631429.453125
1.01,1596631429.46875
-0.29,1596631429.484375
-1.46,1596631429.5
-2.61,1596631429.515625
-3.89,1596631429.53125
-5.37,1596631429.546875
-7.05,1596631429.5625
-8.82,1596631429.578125
-10.59,1596631429.59375
-12.28,1596631429.609375
-13.98,1596631429.625
-15.93,1596631429.640625
-18.43,1596631429.65625
-21.68,1596631429.671875
-25.54,1596631429.6875
-29.5,1596631429.703125
-32.65,1596631429.71875
-34.04,1596631429.734375
-32.9,1596631429.75
-28.95,1596631429.765625
-22.41,1596631429.78125
-13.89,1596631429.796875
-4.21,1596631429.8125
5.77,1596631429.828125
15.24,1596631429.84375
23.4,1596631429.859375
29.49,1596631429.875
32.84,1596631429.890625
33.11,1596631429.90625
30.38,1596631429.921875
25.24,1596631429.9375
18.63,1596631429.953125
11.67,1596631429.96875
5.25,1596631429.984375
0.0,1596631430.0
-3.8,1596631430.015625
-6.12,1596631430.03125
-7.04,1596631430.046875
-6.68,1596631430.0625
-5.2,1596631430.078125
-2.81,1596631430.09375
0.24,1596631430.109375
3.6,1596631430.125
6.92,1596631430.140625
9.82,1596631430.15625
12.05,1596631430.171875
13.41,1596631430.1875
13.95,1596631430.203125
13.8,1596631430.21875
13.25,1596631430.234375
12.6,1596631430.25
12.09,1596631430.265625
11.8,1596631430.28125
11.64,1596631430.296875
11.45,1596631430.3125
11.06,1596631430.328125
10.38,1596631430.34375
9.48,1596631430.359375
8.48,1596631430.375
7.45,1596631430.390625
6.43,1596631430.40625
5.34,1596631430.421875
4.05,1596631430.4375
2.46,1596631430.453125
0.57,1596631430.46875
-1.58,1596631430.484375
-3.87,1596631430.5
-6.21,1596631430.515625
-8.56,1596631430.53125
-10.87,1596631430.546875
-13.09,1596631430.5625
-15.15,1596631430.578125
-17.06,1596631430.59375
-18.96,1596631430.609375
-21.15,1596631430.625
-23.97,1596631430.640625
-27.62,1596631430.65625
-31.91,1596631430.671875
-36.18,1596631430.6875
-39.42,1596631430.703125
-40.63,1596631430.71875
-39.2,1596631430.734375
-35.14,1596631430.75
-29.1,1596631430.765625
-22.14,1596631430.78125
-15.25,1596631430.796875
-9.12,1596631430.8125
-4.01,1596631430.828125
0.14,1596631430.84375
3.55,1596631430.859375
6.4,1596631430.875
8.85,1596631430.890625
11.04,1596631430.90625
13.09,1596631430.921875
15.14,1596631430.9375
17.18,1596631430.953125
19.05,1596631430.96875
20.5,1596631430.984375
21.36,1596631431.0
21.58,1596631431.015625
21.38,1596631431.03125
21.07,1596631431.046875
20.95,1596631431.0625
21.17,1596631431.078125
21.67,1596631431.09375
22.3,1596631431.109375
22.87,1596631431.125
23.23,1596631431.140625
23.34,1596631431.15625
23.17,1596631431.171875
22.7,1596631431.1875
21.92,1596631431.203125
20.85,1596631431.21875
19.58,1596631431.234375
18.25,1596631431.25
17.0,1596631431.265625
15.86,1596631431.28125
14.73,1596631431.296875
13.43,1596631431.3125
11.8,1596631431.328125
9.77,1596631431.34375
7.53,1596631431.359375
5.34,1596631431.375
3.45,1596631431.390625
1.95,1596631431.40625
0.7,1596631431.421875
-0.59,1596631431.4375
-2.23,1596631431.453125
-4.32,1596631431.46875
-6.79,1596631431.484375
-9.41,1596631431.5
-11.89,1596631431.515625
-14.08,1596631431.53125
-15.94,1596631431.546875
-17.61,1596631431.5625
-19.32,1596631431.578125
-21.36,1596631431.59375
-23.96,1596631431.609375
-27.24,1596631431.625
-31.14,1596631431.640625
-35.36,1596631431.65625
-39.32,1596631431.671875
-42.26,1596631431.6875
-43.38,1596631431.703125
-42.11,1596631431.71875
-38.28,1596631431.734375
-32.26,1596631431.75
-24.87,1596631431.765625
-17.15,1596631431.78125
-10.05,1596631431.796875
-4.17,1596631431.8125
0.37,1596631431.828125
3.8,1596631431.84375
6.51,1596631431.859375
8.81,1596631431.875
10.87,1596631431.890625
12.69,1596631431.90625
14.28,1596631431.921875
15.67,1596631431.9375
16.96,1596631431.953125
18.27,1596631431.96875
19.6,1596631431.984375
20.88,1596631432.0
21.98,1596631432.015625
22.83,1596631432.03125
23.42,1596631432.046875
23.88,1596631432.0625
24.36,1596631432.078125
24.94,1596631432.09375
25.65,1596631432.109375
26.39,1596631432.125
27.09,1596631432.140625
27.61,1596631432.15625
27.87,1596631432.171875
27.78,1596631432.1875
27.35,1596631432.203125
26.57,1596631432.21875
25.56,1596631432.234375
24.43,1596631432.25
23.24,1596631432.265625
22.02,1596631432.28125
20.69,1596631432.296875
19.19,1596631432.3125
17.45,1596631432.328125
15.53,1596631432.34375
13.53,1596631432.359375
11.63,1596631432.375
9.96,1596631432.390625
8.58,1596631432.40625
7.4,1596631432.421875
6.17,1596631432.4375
4.64,1596631432.453125
2.58,1596631432.46875
-0.05,1596631432.484375
-3.09,1596631432.5
-6.21,1596631432.515625
-9.06,1596631432.53125
-11.43,1596631432.546875
-13.32,1596631432.5625
-14.96,1596631432.578125
