bvp,time
-2.66,1677486192.34375
1.86,1677486192.359375
5.08,1677486192.375
5.92,1677486192.390625
4.54,1677486192.40625
1.86,1677486192.421875
-1.25,1677486192.4375
-4.63,1677486192.453125
-8.79,1677486192.46875
-14.55,1677486192.484375
-22.39,1677486192.5
-32.05,1677486192.515625
-42.53,1677486192.53125
-52.51,1677486192.546875
-60.86,1677486192.5625
-66.95,1677486192.578125
-70.74,1677486192.59375
-72.62,1677486192.609375
-73.08,1677486192.625
-72.55,1677486192.640625
-71.25,1677486192.65625
-69.31,1677486192.671875
-66.87,1677486192.6875
-64.19,1677486192.703125
-61.57,1677486192.71875
-59.34,1677486192.734375
-57.68,1677486192.75
-56.61,1677486192.765625
-56.06,1677486192.78125
-55.91,1677486192.796875
-56.01,1677486192.8125
-56.25,1677486192.828125
-56.49,1677486192.84375
-56.6,1677486192.859375
-56.56,1677486192.875
-56.39,1677486192.890625
-56.3,1677486192.90625
-56.41,1677486192.921875
-56.72,1677486192.9375
-57.01,1677486192.953125
-56.85,1677486192.96875
-55.82,1677486192.984375
-53.72,1677486193.0
-50.68,1677486193.015625
-47.23,1677486193.03125
-44.1,1677486193.046875
-41.97,1677486193.0625
-41.2,1677486193.078125
-41.73,1677486193.09375
-43.08,1677486193.109375
-44.55,1677486193.125
-45.59,1677486193.140625
-45.94,1677486193.15625
-45.78,1677486193.171875
-45.58,1677486193.1875
-45.82,1677486193.203125
-46.61,1677486193.21875
-47.49,1677486193.234375
-47.39,1677486193.25
-45.01,1677486193.265625
-39.3,1677486193.28125
-29.89,1677486193.296875
-17.31,1677486193.3125
-2.75,1677486193.328125
12.48,1677486193.34375
27.46,1677486193.359375
41.9,1677486193.375
56.03,1677486193.390625
70.2,1677486193.40625
84.49,1677486193.421875
98.58,1677486193.4375
111.99,1677486193.453125
124.3,1677486193.46875
135.49,1677486193.484375
145.83,1677486193.5
155.66,1677486193.515625
165.07,1677486193.53125
173.7,1677486193.546875
180.69,1677486193.5625
184.83,1677486193.578125
184.49,1677486193.59375
177.66,1677486193.609375
162.03,1677486193.625
