PPG GREEN,time
1772574.0,1534404559.566
1769861.0,1534404559.606
1766495.0,1534404559.646
1762611.0,1534404559.686
1758858.0,1534404559.726
1755754.0,1534404559.766
1752693.0,1534404559.806
1750371.0,1534404559.846
1747762.0,1534404559.886
1745492.0,1534404559.926
1743393.0,1534404559.966
1741444.0,1534404560.006
1739499.0,1534404560.046
1737055.0,1534404560.086
1733545.0,1534404560.126
1730393.0,1534404560.166
1728073.0,1534404560.206
1724914.0,1534404560.246
1721339.0,1534404560.286
1719173.0,1534404560.326
1717444.0,1534404560.366
1716105.0,1534404560.406
1715221.0,1534404560.446
1715209.0,1534404560.486
1716072.0,1534404560.526
1715684.0,1534404560.566
1714290.0,1534404560.606
1709382.0,1534404560.646
1705200.0,1534404560.686
1699545.0,1534404560.726
1693647.0,1534404560.766
1690085.0,1534404560.806
1689759.0,1534404560.846
1688571.0,1534404560.886
1687297.0,1534404560.926
1686898.0,1534404560.966
1686400.0,1534404561.006
1686019.0,1534404561.046
1685010.0,1534404561.086
1682924.0,1534404561.126
1680258.0,1534404561.166
1678202.0,1534404561.206
1675957.0,1534404561.246
1674348.0,1534404561.286
1672508.0,1534404561.326
1670588.0,1534404561.366
1669121.0,1534404561.406
1668398.0,1534404561.446
1668055.0,1534404561.486
1667661.0,1534404561.526
1667909.0,1534404561.566
1666953.0,1534404561.606
1664552.0,1534404561.646
1661531.0,1534404561.686
1659176.0,1534404561.726
1657907.0,1534404561.766
1657678.0,1534404561.806
1657033.0,1534404561.846
1656809.0,1534404561.886
1656759.0,1534404561.926
1656783.0,1534404561.966
1657509.0,1534404562.006
1658334.0,1534404562.046
1658093.0,1534404562.086
1657155.0,1534404562.126
1655440.0,1534404562.166
1653718.0,1534404562.206
1652625.0,1534404562.246
1652393.0,1534404562.286
1654370.0,1534404562.326
1656982.0,1534404562.366
1660148.0,1534404562.406
1663847.0,1534404562.446
1668153.0,1534404562.486
1672471.0,1534404562.526
1675690.0,1534404562.566
1678101.0,1534404562.606
1678892.0,1534404562.646
1680045.0,1534404562.686
1681693.0,1534404562.726
1684695.0,1534404562.766
1688736.0,1534404562.806
1692135.0,1534404562.846
