PPG GREEN,time
1834238.0,1533196027.489
1833131.0,1533196027.53
1832114.0,1533196027.569
1831430.0,1533196027.61
1830826.0,1533196027.65
1830385.0,1533196027.689
1830185.0,1533196027.73
1829951.0,1533196027.771
1829658.0,1533196027.81
1829738.0,1533196027.85
1829796.0,1533196027.891
1829954.0,1533196027.93
1830287.0,1533196027.97
1830600.0,1533196028.012
1830956.0,1533196028.05
1831248.0,1533196028.09
1831714.0,1533196028.132
1832294.0,1533196028.171
1832800.0,1533196028.212
1832385.0,1533196028.252
1831351.0,1533196028.291
1829615.0,1533196028.331
1826641.0,1533196028.372
1821857.0,1533196028.412
1816447.0,1533196028.451
1812469.0,1533196028.493
1808994.0,1533196028.532
1806620.0,1533196028.572
1804146.0,1533196028.614
1801805.0,1533196028.652
1800199.0,1533196028.692
1798319.0,1533196028.733
1797229.0,1533196028.772
1796006.0,1533196028.813
1796566.0,1533196028.854
1795790.0,1533196028.893
1796116.0,1533196028.933
1798000.0,1533196028.974
1799933.0,1533196029.014
1804174.0,1533196029.053
1806256.0,1533196029.094
1805792.0,1533196029.133
1802910.0,1533196029.173
1800312.0,1533196029.215
1797300.0,1533196029.253
1795447.0,1533196029.294
1794322.0,1533196029.335
1793188.0,1533196029.374
1792632.0,1533196029.415
1792801.0,1533196029.455
1793109.0,1533196029.494
1793426.0,1533196029.534
1793140.0,1533196029.575
1793620.0,1533196029.615
1793346.0,1533196029.655
1793389.0,1533196029.696
1792769.0,1533196029.735
1792458.0,1533196029.775
1792135.0,1533196029.818
1790745.0,1533196029.855
1788816.0,1533196029.895
1786438.0,1533196029.936
1784555.0,1533196029.975
1782841.0,1533196030.016
1781341.0,1533196030.057
1780272.0,1533196030.096
1779705.0,1533196030.136
1778967.0,1533196030.177
1778296.0,1533196030.217
1777656.0,1533196030.256
1777615.0,1533196030.298
1777230.0,1533196030.337
1777249.0,1533196030.377
1777489.0,1533196030.419
1777522.0,1533196030.457
1777647.0,1533196030.497
1777648.0,1533196030.538
1776296.0,1533196030.577
1774896.0,1533196030.618
1773845.0,1533196030.659
1773025.0,1533196030.698
1772439.0,1533196030.738
1772102.0,1533196030.779
1772099.0,1533196030.819
1772082.0,1533196030.858
1771932.0,1533196030.899
1771990.0,1533196030.938
1772038.0,1533196030.979
1772417.0,1533196031.02
1772750.0,1533196031.059
1772878.0,1533196031.099
1773391.0,1533196031.14
1773657.0,1533196031.179
1773733.0,1533196031.22
1772622.0,1533196031.26
1771287.0,1533196031.3
1770479.0,1533196031.34
1769501.0,1533196031.381
1768857.0,1533196031.421
1768635.0,1533196031.46
1768689.0,1533196031.501
1768695.0,1533196031.54
1768731.0,1533196031.58
1768751.0,1533196031.622
1769048.0,1533196031.661
1769301.0,1533196031.701
1769782.0,1533196031.742
1769820.0,1533196031.781
1770403.0,1533196031.822
1770766.0,1533196031.862
1771016.0,1533196031.901
1770598.0,1533196031.942
1769272.0,1533196031.983
1767850.0,1533196032.022
1766940.0,1533196032.062
1765971.0,1533196032.103
1765089.0,1533196032.142
1765109.0,1533196032.182
1764874.0,1533196032.224
1764892.0,1533196032.262
1765025.0,1533196032.302
1765104.0,1533196032.343
1765529.0,1533196032.383
1765858.0,1533196032.423
1766226.0,1533196032.464
1766570.0,1533196032.503
1767205.0,1533196032.543
1767719.0,1533196032.584
1768288.0,1533196032.624
1768777.0,1533196032.663
1769155.0,1533196032.704
1768709.0,1533196032.743
1767730.0,1533196032.783
1766769.0,1533196032.825
1765778.0,1533196032.863
1764955.0,1533196032.903
1764330.0,1533196032.944
1764083.0,1533196032.983
1764206.0,1533196033.024
1764214.0,1533196033.064
1764672.0,1533196033.104
1764545.0,1533196033.144
1765018.0,1533196033.185
1765329.0,1533196033.224
1765632.0,1533196033.264
1766381.0,1533196033.305
1766760.0,1533196033.344
1767313.0,1533196033.384
1767783.0,1533196033.426
1768317.0,1533196033.464
1769053.0,1533196033.504
1769709.0,1533196033.545
1769940.0,1533196033.584
1769522.0,1533196033.625
1768528.0,1533196033.666
1767780.0,1533196033.705
1766847.0,1533196033.745
1766442.0,1533196033.786
1766229.0,1533196033.826
1766152.0,1533196033.865
1766129.0,1533196033.906
1766499.0,1533196033.945
1766812.0,1533196033.985
1766975.0,1533196034.027
1767311.0,1533196034.065
1767864.0,1533196034.105
1768080.0,1533196034.146
1768482.0,1533196034.185
1769091.0,1533196034.226
1769692.0,1533196034.267
1770285.0,1533196034.306
1771110.0,1533196034.346
1771885.0,1533196034.387
1772329.0,1533196034.427
1772278.0,1533196034.466
1771742.0,1533196034.507
1771066.0,1533196034.546
1770413.0,1533196034.586
1769641.0,1533196034.628
1769366.0,1533196034.666
1769722.0,1533196034.706
1769535.0,1533196034.748
1769832.0,1533196034.787
1769835.0,1533196034.827
1770111.0,1533196034.868
1770500.0,1533196034.907
1771097.0,1533196034.947
1771446.0,1533196034.988
1771968.0,1533196035.028
1772530.0,1533196035.067
1772921.0,1533196035.108
1773737.0,1533196035.147
1774058.0,1533196035.187
1774740.0,1533196035.229
1775429.0,1533196035.268
1776294.0,1533196035.308
1776393.0,1533196035.349
1776102.0,1533196035.388
1775731.0,1533196035.429
1775414.0,1533196035.469
1775079.0,1533196035.508
1774964.0,1533196035.548
1774710.0,1533196035.589
1774975.0,1533196035.629
1775131.0,1533196035.668
1775231.0,1533196035.71
1775855.0,1533196035.789
1775702.0,1533196035.749
1775974.0,1533196035.831
1776288.0,1533196035.869
1777071.0,1533196035.909
1777198.0,1533196035.95
1777577.0,1533196035.989
1778042.0,1533196036.03
1778238.0,1533196036.07
1778733.0,1533196036.11
1779152.0,1533196036.15
1778872.0,1533196036.191
1778376.0,1533196036.231
1777407.0,1533196036.27
1776818.0,1533196036.311
1776647.0,1533196036.39
1776571.0,1533196036.35
1776716.0,1533196036.432
1776688.0,1533196036.591
1776579.0,1533196036.47
1776473.0,1533196036.552
1776614.0,1533196036.511
1776979.0,1533196036.632
1777482.0,1533196036.711
1778258.0,1533196036.792
1778344.0,1533196036.832
1779161.0,1533196036.913
1777302.0,1533196036.672
1778727.0,1533196036.871
1777796.0,1533196036.751
1778438.0,1533196036.952
1777541.0,1533196037.034
1776330.0,1533196037.112
1776742.0,1533196037.072
1776204.0,1533196037.153
1777849.0,1533196036.992
1776225.0,1533196037.192
1776442.0,1533196037.233
1776445.0,1533196037.273
1776686.0,1533196037.313
1777046.0,1533196037.353
1777088.0,1533196037.394
1777293.0,1533196037.434
1777811.0,1533196037.473
1778201.0,1533196037.514
1778588.0,1533196037.553
1779089.0,1533196037.593
1779761.0,1533196037.635
1780022.0,1533196037.673
1779567.0,1533196037.713
1779127.0,1533196037.755
1778235.0,1533196037.794
1777423.0,1533196037.834
1776704.0,1533196037.875
1775902.0,1533196037.914
1775777.0,1533196037.995
1775886.0,1533196037.954
1775887.0,1533196038.035
1775820.0,1533196038.074
1776141.0,1533196038.155
1776195.0,1533196038.195
1775772.0,1533196038.115
1776557.0,1533196038.236
1777153.0,1533196038.275
1777609.0,1533196038.315
1777709.0,1533196038.356
1778289.0,1533196038.395
1778941.0,1533196038.436
1779108.0,1533196038.476
1777028.0,1533196038.597
1778739.0,1533196038.515
1777787.0,1533196038.556
1775862.0,1533196038.636
1775199.0,1533196038.676
1774433.0,1533196038.717
1774344.0,1533196038.756
1774001.0,1533196038.796
1774155.0,1533196038.838
1774153.0,1533196038.876
1774335.0,1533196038.917
1774336.0,1533196038.958
1775048.0,1533196039.038
1775182.0,1533196039.078
1774713.0,1533196038.997
1775650.0,1533196039.117
1775891.0,1533196039.157
1776521.0,1533196039.198
1776998.0,1533196039.238
1777609.0,1533196039.278
1778045.0,1533196039.319
1777815.0,1533196039.358
1777063.0,1533196039.398
1776298.0,1533196039.44
1775275.0,1533196039.478
1774867.0,1533196039.518
1774156.0,1533196039.559
1774056.0,1533196039.598
1773966.0,1533196039.639
1773927.0,1533196039.68
1774186.0,1533196039.719
1774142.0,1533196039.759
1774259.0,1533196039.8
1774700.0,1533196039.84
1774842.0,1533196039.879
1775255.0,1533196039.92
1775656.0,1533196039.959
1775972.0,1533196039.999
1776583.0,1533196040.041
1777116.0,1533196040.08
1777667.0,1533196040.12
1778546.0,1533196040.2
1778169.0,1533196040.161
1778285.0,1533196040.241
1777638.0,1533196040.281
1776486.0,1533196040.32
1776033.0,1533196040.36
1775257.0,1533196040.441
1775265.0,1533196040.522
1775269.0,1533196040.561
1775594.0,1533196040.601
1775284.0,1533196040.481
1775803.0,1533196040.402
1775578.0,1533196040.643
1776212.0,1533196040.721
1777646.0,1533196040.842
1776672.0,1533196040.762
1778085.0,1533196040.883
1777097.0,1533196040.802
1775940.0,1533196040.681
1778502.0,1533196040.922
1779963.0,1533196041.043
1779688.0,1533196041.123
1778906.0,1533196040.962
1778907.0,1533196041.163
1779509.0,1533196041.003
1777713.0,1533196041.323
1780090.0,1533196041.082
1778369.0,1533196041.203
