text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,blue,0,11,1,3,2000
blue,green,0,14,1,3,2000
green,blue,0,11,2,2,1357
blue,red,0,16,1,1,1751
yellow,yellow,1,1,4,1,1815
blue,red,0,16,3,2,1136
blue,blue,1,15,3,1,933
green,yellow,0,9,1,3,2000
red,blue,0,7,3,1,1629
red,blue,0,7,3,1,738
yellow,red,0,4,1,1,1970
green,blue,0,11,3,1,1528
green,blue,0,11,3,1,891
green,green,1,10,2,1,1187
red,yellow,0,5,1,2,1030
blue,blue,1,15,3,1,1157
red,blue,0,7,3,1,529
yellow,yellow,1,1,4,1,895
yellow,yellow,1,1,4,1,559
red,blue,0,7,3,1,800
green,yellow,0,9,4,1,1758
green,red,0,12,1,1,1680
red,green,0,6,2,1,1101
yellow,green,0,2,2,1,1530
red,red,1,8,1,1,1463
yellow,blue,0,3,3,1,1262
green,red,0,12,2,2,1160
red,green,0,6,1,2,1213
blue,yellow,0,13,1,3,2000
red,red,1,8,1,1,911
yellow,red,0,4,1,1,558
green,yellow,0,9,1,3,2000
yellow,red,0,4,3,2,1283
red,red,1,8,1,1,1323
blue,green,0,14,3,2,1067
blue,red,0,16,3,2,719
blue,yellow,0,13,1,3,2000
yellow,yellow,1,1,4,1,823
blue,green,0,14,1,3,2000
red,green,0,6,1,2,953
yellow,blue,0,3,3,1,1644
blue,green,0,14,2,1,1721
yellow,blue,0,3,3,1,1539
blue,red,0,16,1,1,1091
green,blue,0,11,3,1,1621
red,yellow,0,5,4,1,1584
green,green,1,10,2,1,1510
blue,red,0,16,1,1,1151
blue,yellow,0,13,4,1,1076
blue,blue,1,15,3,1,658
yellow,red,0,4,4,2,746
green,yellow,0,9,4,1,824
blue,yellow,0,13,4,1,622
blue,yellow,0,13,4,1,789
blue,yellow,0,13,4,1,488
blue,green,0,14,2,1,786
green,red,0,12,1,1,914
yellow,yellow,1,1,4,1,637
red,yellow,0,5,4,1,1881
red,red,1,8,1,1,679
green,red,0,12,1,1,469
green,blue,0,11,3,1,764
green,green,1,10,2,1,668
blue,green,0,14,2,1,804
green,green,1,10,2,1,463
green,green,1,10,2,1,467
yellow,green,0,2,2,1,457
red,yellow,0,5,4,1,978
yellow,green,0,2,2,1,890
yellow,red,0,4,1,1,778
blue,green,0,14,2,1,1342
red,red,1,8,1,1,1274
green,yellow,0,9,2,2,752
red,red,1,8,1,1,1472
blue,blue,1,15,3,1,713
red,yellow,0,5,4,1,578
red,blue,0,7,3,1,899
green,green,1,10,2,1,871
red,red,1,8,1,1,725
red,yellow,0,5,4,1,1074
yellow,blue,0,3,3,1,1267
red,blue,0,7,3,1,583
red,yellow,0,5,4,1,863
yellow,yellow,1,1,4,1,1369
blue,red,0,16,2,2,1502
red,red,1,8,1,1,1816
yellow,yellow,1,1,4,1,994
green,red,0,12,2,2,1106
yellow,blue,0,3,3,1,1520
yellow,green,0,2,2,1,1605
red,green,0,6,1,2,815
green,green,1,10,2,1,1061
yellow,blue,0,3,3,1,690
green,green,1,10,2,1,668
yellow,red,0,4,4,2,773
yellow,green,0,2,1,2,951
yellow,green,0,2,2,1,1810
blue,yellow,0,13,4,1,945
red,green,0,6,2,1,1020
red,green,0,6,2,1,1680
red,green,0,6,2,1,530
yellow,red,0,4,1,1,1280
red,green,0,6,2,1,1159
green,red,0,12,1,1,1375
yellow,blue,0,3,3,1,1347
green,blue,0,11,3,1,435
yellow,red,0,4,2,2,1173
green,red,0,12,1,1,1333
green,yellow,0,9,4,1,906
blue,blue,1,15,3,1,604
green,yellow,0,9,4,1,1094
yellow,blue,0,3,3,1,1319
blue,green,0,14,2,1,1129
green,red,0,12,1,1,829
blue,blue,1,15,3,1,741
green,blue,0,11,3,1,998
blue,red,0,16,1,1,999
yellow,yellow,1,1,4,1,1028
blue,yellow,0,13,4,1,700
blue,red,0,16,1,1,994
