bvp,time
55.51,1567412820.0
55.98,1567412820.015625
56.38,1567412820.03125
56.11,1567412820.046875
54.58,1567412820.0625
51.54,1567412820.078125
47.21,1567412820.09375
42.23,1567412820.109375
37.32,1567412820.125
33.04,1567412820.140625
29.45,1567412820.15625
26.14,1567412820.171875
22.4,1567412820.1875
17.45,1567412820.203125
10.73,1567412820.21875
1.94,1567412820.234375
-8.81,1567412820.25
-20.97,1567412820.265625
-33.49,1567412820.28125
-44.79,1567412820.296875
-52.9,1567412820.3125
-55.92,1567412820.328125
-52.56,1567412820.34375
-42.69,1567412820.359375
-27.51,1567412820.375
-9.3,1567412820.390625
9.23,1567412820.40625
25.79,1567412820.421875
39.01,1567412820.4375
48.61,1567412820.453125
55.06,1567412820.46875
59.09,1567412820.484375
61.25,1567412820.5
61.81,1567412820.515625
60.88,1567412820.53125
58.67,1567412820.546875
55.64,1567412820.5625
52.45,1567412820.578125
49.87,1567412820.59375
48.53,1567412820.609375
48.71,1567412820.625
50.28,1567412820.640625
52.65,1567412820.65625
54.87,1567412820.671875
55.73,1567412820.6875
54.07,1567412820.703125
48.96,1567412820.71875
39.99,1567412820.734375
27.37,1567412820.75
11.85,1567412820.765625
-5.39,1567412820.78125
-22.99,1567412820.796875
-39.68,1567412820.8125
-54.43,1567412820.828125
-66.76,1567412820.84375
-76.74,1567412820.859375
-84.99,1567412820.875
-92.37,1567412820.890625
-99.64,1567412820.90625
-107.08,1567412820.921875
-114.47,1567412820.9375
-121.24,1567412820.953125
-126.89,1567412820.96875
-131.31,1567412820.984375
-134.79,1567412821.0
-138.02,1567412821.015625
-141.72,1567412821.03125
-146.45,1567412821.046875
-152.23,1567412821.0625
-158.24,1567412821.078125
-162.51,1567412821.09375
-162.03,1567412821.109375
-153.43,1567412821.125
-134.22,1567412821.140625
-104.12,1567412821.15625
-65.7,1567412821.171875
-23.9,1567412821.1875
15.58,1567412821.203125
48.18,1567412821.21875
71.91,1567412821.234375
87.37,1567412821.25
96.76,1567412821.265625
102.32,1567412821.28125
105.26,1567412821.296875
105.68,1567412821.3125
103.27,1567412821.328125
98.19,1567412821.34375
91.53,1567412821.359375
85.01,1567412821.375
80.21,1567412821.390625
77.87,1567412821.40625
77.68,1567412821.421875
78.53,1567412821.4375
79.15,1567412821.453125
78.59,1567412821.46875
76.5,1567412821.484375
72.9,1567412821.5
67.93,1567412821.515625
61.63,1567412821.53125
53.95,1567412821.546875
44.98,1567412821.5625
35.07,1567412821.578125
24.9,1567412821.59375
15.24,1567412821.609375
6.72,1567412821.625
-0.41,1567412821.640625
-6.22,1567412821.65625
-11.04,1567412821.671875
-15.27,1567412821.6875
-19.28,1567412821.703125
-23.39,1567412821.71875
-27.92,1567412821.734375
-33.21,1567412821.75
-39.54,1567412821.765625
-47.09,1567412821.78125
-55.87,1567412821.796875
-65.63,1567412821.8125
-75.75,1567412821.828125
-85.06,1567412821.84375
-91.81,1567412821.859375
-93.93,1567412821.875
-89.57,1567412821.890625
-77.85,1567412821.90625
-59.38,1567412821.921875
-36.35,1567412821.9375
-11.87,1567412821.953125
10.96,1567412821.96875
30.1,1567412821.984375
44.92,1567412822.0
56.04,1567412822.015625
64.55,1567412822.03125
71.3,1567412822.046875
76.51,1567412822.0625
79.94,1567412822.078125
81.39,1567412822.09375
81.09,1567412822.109375
79.82,1567412822.125
78.59,1567412822.140625
78.17,1567412822.15625
78.79,1567412822.171875
80.11,1567412822.1875
81.56,1567412822.203125
82.74,1567412822.21875
83.6,1567412822.234375
84.36,1567412822.25
85.27,1567412822.265625
86.33,1567412822.28125
87.26,1567412822.296875
87.6,1567412822.3125
86.91,1567412822.328125
84.97,1567412822.34375
81.8,1567412822.359375
77.62,1567412822.375
72.75,1567412822.390625
67.52,1567412822.40625
62.23,1567412822.421875
57.1,1567412822.4375
52.26,1567412822.453125
47.72,1567412822.46875
43.38,1567412822.484375
39.02,1567412822.5
34.38,1567412822.515625
29.28,1567412822.53125
23.61,1567412822.546875
17.43,1567412822.5625
11.0,1567412822.578125
4.74,1567412822.59375
-0.9,1567412822.609375
-5.5,1567412822.625
-8.87,1567412822.640625
-11.06,1567412822.65625
-12.3,1567412822.671875
-12.94,1567412822.6875
-13.23,1567412822.703125
-13.32,1567412822.71875
-13.22,1567412822.734375
-12.86,1567412822.75
-12.19,1567412822.765625
-11.28,1567412822.78125
-10.29,1567412822.796875
-9.41,1567412822.8125
-8.78,1567412822.828125
-8.43,1567412822.84375
-8.33,1567412822.859375
-8.36,1567412822.875
-8.45,1567412822.890625
-8.54,1567412822.90625
-8.57,1567412822.921875
-8.43,1567412822.9375
-8.0,1567412822.953125
-7.16,1567412822.96875
-5.99,1567412822.984375
-4.73,1567412823.0
-3.79,1567412823.015625
-3.5,1567412823.03125
-3.98,1567412823.046875
-5.07,1567412823.0625
-6.44,1567412823.078125
-7.8,1567412823.09375
-9.09,1567412823.109375
-10.5,1567412823.125
-12.32,1567412823.140625
-14.74,1567412823.15625
-17.73,1567412823.171875
-21.04,1567412823.1875
-24.41,1567412823.203125
-27.68,1567412823.21875
-30.83,1567412823.234375
-33.9,1567412823.25
-36.88,1567412823.265625
-39.62,1567412823.28125
-41.91,1567412823.296875
-43.61,1567412823.3125
-44.72,1567412823.328125
-45.44,1567412823.34375
-46.0,1567412823.359375
-46.59,1567412823.375
-47.27,1567412823.390625
-47.95,1567412823.40625
-48.49,1567412823.421875
-48.73,1567412823.4375
-48.54,1567412823.453125
-47.83,1567412823.46875
-46.57,1567412823.484375
-44.75,1567412823.5
-42.54,1567412823.515625
-40.16,1567412823.53125
-37.94,1567412823.546875
-36.26,1567412823.5625
-35.53,1567412823.578125
-36.17,1567412823.59375
-38.57,1567412823.609375
-43.0,1567412823.625
-49.42,1567412823.640625
-57.39,1567412823.65625
-66.13,1567412823.671875
-74.6,1567412823.6875
-81.92,1567412823.703125
-87.54,1567412823.71875
-91.41,1567412823.734375
-93.89,1567412823.75
-95.54,1567412823.765625
-96.92,1567412823.78125
-98.39,1567412823.796875
-100.12,1567412823.8125
-102.01,1567412823.828125
-103.72,1567412823.84375
-104.7,1567412823.859375
-104.33,1567412823.875
-102.09,1567412823.890625
-97.88,1567412823.90625
-92.08,1567412823.921875
-85.56,1567412823.9375
-79.31,1567412823.953125
-74.12,1567412823.96875
-70.34,1567412823.984375
-67.84,1567412824.0
-66.18,1567412824.015625
-64.89,1567412824.03125
-63.67,1567412824.046875
-62.44,1567412824.0625
-61.21,1567412824.078125
-60.14,1567412824.09375
-59.45,1567412824.109375
-59.56,1567412824.125
-60.85,1567412824.140625
-63.52,1567412824.15625
-67.1,1567412824.171875
-70.28,1567412824.1875
-71.04,1567412824.203125
-67.23,1567412824.21875
-57.45,1567412824.234375
-41.64,1567412824.25
-21.41,1567412824.265625
0.58,1567412824.28125
21.36,1567412824.296875
38.75,1567412824.3125
51.79,1567412824.328125
60.77,1567412824.34375
66.72,1567412824.359375
70.84,1567412824.375
74.06,1567412824.390625
76.91,1567412824.40625
79.74,1567412824.421875
82.81,1567412824.4375
86.39,1567412824.453125
90.62,1567412824.46875
95.37,1567412824.484375
100.15,1567412824.5
104.21,1567412824.515625
106.86,1567412824.53125
107.71,1567412824.546875
106.87,1567412824.5625
104.82,1567412824.578125
102.24,1567412824.59375
99.56,1567412824.609375
96.73,1567412824.625
93.07,1567412824.640625
87.4,1567412824.65625
78.5,1567412824.671875
65.55,1567412824.6875
48.62,1567412824.703125
28.82,1567412824.71875
8.1,1567412824.734375
-11.08,1567412824.75
-26.3,1567412824.765625
-35.72,1567412824.78125
-38.88,1567412824.796875
-37.17,1567412824.8125
-33.91,1567412824.828125
-33.47,1567412824.84375
-39.6,1567412824.859375
-53.53,1567412824.875
-72.86,1567412824.890625
-92.13,1567412824.90625
-104.94,1567412824.921875
-106.49,1567412824.9375
-95.29,1567412824.953125
-73.11,1567412824.96875
-43.56,1567412824.984375
-10.49,1567412825.0
22.55,1567412825.015625
51.65,1567412825.03125
71.7,1567412825.046875
76.68,1567412825.0625
61.72,1567412825.078125
25.86,1567412825.09375
-26.28,1567412825.109375
-85.49,1567412825.125
-141.19,1567412825.140625
-185.31,1567412825.15625
-214.61,1567412825.171875
-230.26,1567412825.1875
-235.32,1567412825.203125
-231.92,1567412825.21875
-220.09,1567412825.234375
-198.65,1567412825.25
-167.34,1567412825.265625
-128.4,1567412825.28125
-86.58,1567412825.296875
-47.29,1567412825.3125
-14.31,1567412825.328125
11.66,1567412825.34375
32.74,1567412825.359375
52.32,1567412825.375
72.98,1567412825.390625
95.08,1567412825.40625
116.57,1567412825.421875
133.85,1567412825.4375
143.42,1567412825.453125
143.57,1567412825.46875
135.29,1567412825.484375
122.11,1567412825.5
108.82,1567412825.515625
99.49,1567412825.53125
95.63,1567412825.546875
95.55,1567412825.5625
95.12,1567412825.578125
89.83,1567412825.59375
76.89,1567412825.609375
56.46,1567412825.625
31.27,1567412825.640625
5.16,1567412825.65625
-18.65,1567412825.671875
-38.44,1567412825.6875
-53.6,1567412825.703125
-63.59,1567412825.71875
-66.97,1567412825.734375
-61.52,1567412825.75
-45.26,1567412825.765625
-17.88,1567412825.78125
18.37,1567412825.796875
58.84,1567412825.8125
97.74,1567412825.828125
130.01,1567412825.84375
152.72,1567412825.859375
165.67,1567412825.875
170.97,1567412825.890625
171.81,1567412825.90625
171.18,1567412825.921875
171.23,1567412825.9375
173.24,1567412825.953125
178.03,1567412825.96875
185.99,1567412825.984375
196.61,1567412826.0
207.69,1567412826.015625
215.21,1567412826.03125
214.21,1567412826.046875
200.79,1567412826.0625
174.09,1567412826.078125
137.23,1567412826.09375
96.47,1567412826.109375
58.92,1567412826.125
29.98,1567412826.140625
11.78,1567412826.15625
3.26,1567412826.171875
1.49,1567412826.1875
3.29,1567412826.203125
6.26,1567412826.21875
8.86,1567412826.234375
10.01,1567412826.25
8.76,1567412826.265625
4.31,1567412826.28125
-3.53,1567412826.296875
-14.13,1567412826.3125
-26.13,1567412826.328125
-37.79,1567412826.34375
-47.69,1567412826.359375
-55.29,1567412826.375
-61.08,1567412826.390625
-66.5,1567412826.40625
-73.29,1567412826.421875
-82.75,1567412826.4375
-95.02,1567412826.453125
-108.72,1567412826.46875
-121.17,1567412826.484375
-129.27,1567412826.5
-130.6,1567412826.515625
-124.26,1567412826.53125
-111.28,1567412826.546875
-94.15,1567412826.5625
-75.91,1567412826.578125
-59.14,1567412826.59375
-45.36,1567412826.609375
-34.93,1567412826.625
-27.45,1567412826.640625
-22.3,1567412826.65625
-18.96,1567412826.671875
-17.15,1567412826.6875
-16.68,1567412826.703125
-17.3,1567412826.71875
-18.63,1567412826.734375
-20.19,1567412826.75
-21.55,1567412826.765625
-22.45,1567412826.78125
-22.85,1567412826.796875
-22.87,1567412826.8125
-22.59,1567412826.828125
-21.87,1567412826.84375
-20.23,1567412826.859375
-16.98,1567412826.875
-11.42,1567412826.890625
-3.36,1567412826.90625
6.7,1567412826.921875
17.48,1567412826.9375
27.33,1567412826.953125
34.76,1567412826.96875
38.88,1567412826.984375
39.66,1567412827.0
37.53,1567412827.015625
33.05,1567412827.03125
26.44,1567412827.046875
17.55,1567412827.0625
6.07,1567412827.078125
-8.11,1567412827.09375
-24.63,1567412827.109375
-42.61,1567412827.125
-60.73,1567412827.140625
-77.36,1567412827.15625
-90.65,1567412827.171875
-98.75,1567412827.1875
-100.11,1567412827.203125
-93.98,1567412827.21875
-80.87,1567412827.234375
-62.66,1567412827.25
-42.27,1567412827.265625
-22.84,1567412827.28125
-6.86,1567412827.296875
4.46,1567412827.3125
11.27,1567412827.328125
14.63,1567412827.34375
15.97,1567412827.359375
16.48,1567412827.375
16.99,1567412827.390625
17.98,1567412827.40625
19.84,1567412827.421875
22.95,1567412827.4375
27.64,1567412827.453125
34.02,1567412827.46875
41.81,1567412827.484375
50.4,1567412827.5
59.0,1567412827.515625
66.93,1567412827.53125
73.91,1567412827.546875
80.06,1567412827.5625
85.68,1567412827.578125
90.99,1567412827.59375
95.92,1567412827.609375
100.02,1567412827.625
102.77,1567412827.640625
103.74,1567412827.65625
102.89,1567412827.671875
100.54,1567412827.6875
97.3,1567412827.703125
93.88,1567412827.71875
90.76,1567412827.734375
88.14,1567412827.75
85.75,1567412827.765625
82.85,1567412827.78125
78.45,1567412827.796875
71.62,1567412827.8125
61.91,1567412827.828125
49.76,1567412827.84375
36.68,1567412827.859375
24.94,1567412827.875
16.98,1567412827.890625
14.54,1567412827.90625
18.16,1567412827.921875
26.92,1567412827.9375
38.92,1567412827.953125
51.93,1567412827.96875
64.14,1567412827.984375
74.56,1567412828.0
83.02,1567412828.015625
89.89,1567412828.03125
95.61,1567412828.046875
100.44,1567412828.0625
104.36,1567412828.078125
107.21,1567412828.09375
108.86,1567412828.109375
109.42,1567412828.125
109.24,1567412828.140625
108.8,1567412828.15625
108.51,1567412828.171875
108.54,1567412828.1875
108.78,1567412828.203125
108.92,1567412828.21875
108.59,1567412828.234375
107.59,1567412828.25
105.83,1567412828.265625
103.32,1567412828.28125
100.02,1567412828.296875
95.76,1567412828.3125
90.23,1567412828.328125
83.14,1567412828.34375
74.43,1567412828.359375
64.38,1567412828.375
53.68,1567412828.390625
43.27,1567412828.40625
34.06,1567412828.421875
26.61,1567412828.4375
20.89,1567412828.453125
16.22,1567412828.46875
11.44,1567412828.484375
5.34,1567412828.5
-2.91,1567412828.515625
-13.39,1567412828.53125
-25.35,1567412828.546875
-37.32,1567412828.5625
-47.33,1567412828.578125
-53.38,1567412828.59375
-53.81,1567412828.609375
-47.77,1567412828.625
-35.52,1567412828.640625
-18.57,1567412828.65625
0.65,1567412828.671875
19.41,1567412828.6875
35.47,1567412828.703125
47.64,1567412828.71875
55.9,1567412828.734375
61.0,1567412828.75
63.89,1567412828.765625
65.19,1567412828.78125
65.14,1567412828.796875
63.89,1567412828.8125
61.78,1567412828.828125
59.43,1567412828.84375
57.55,1567412828.859375
56.44,1567412828.875
55.88,1567412828.890625
55.19,1567412828.90625
53.75,1567412828.921875
51.27,1567412828.9375
47.95,1567412828.953125
44.2,1567412828.96875
40.2,1567412828.984375
35.75,1567412829.0
30.32,1567412829.015625
23.31,1567412829.03125
14.45,1567412829.046875
3.8,1567412829.0625
-8.3,1567412829.078125
-21.36,1567412829.09375
-34.82,1567412829.109375
-47.99,1567412829.125
-60.04,1567412829.140625
-70.19,1567412829.15625
-78.06,1567412829.171875
-83.87,1567412829.1875
-88.62,1567412829.203125
-93.73,1567412829.21875
-100.55,1567412829.234375
-109.82,1567412829.25
-121.28,1567412829.265625
-133.58,1567412829.28125
-144.57,1567412829.296875
-151.81,1567412829.3125
-153.27,1567412829.328125
-148.0,1567412829.34375
-136.46,1567412829.359375
-120.45,1567412829.375
-102.62,1567412829.390625
-85.61,1567412829.40625
-71.32,1567412829.421875
-60.51,1567412829.4375
-52.83,1567412829.453125
-47.38,1567412829.46875
-43.22,1567412829.484375
-39.78,1567412829.5
-36.94,1567412829.515625
-34.79,1567412829.53125
-33.32,1567412829.546875
-32.24,1567412829.5625
-30.99,1567412829.578125
-29.03,1567412829.59375
-26.16,1567412829.609375
-22.66,1567412829.625
-19.19,1567412829.640625
-16.49,1567412829.65625
-14.9,1567412829.671875
-14.27,1567412829.6875
-14.0,1567412829.703125
-13.49,1567412829.71875
-12.55,1567412829.734375
-11.51,1567412829.75
-11.17,1567412829.765625
-12.35,1567412829.78125
-15.51,1567412829.796875
-20.56,1567412829.8125
-26.87,1567412829.828125
-33.59,1567412829.84375
-39.91,1567412829.859375
-45.31,1567412829.875
-49.6,1567412829.890625
-52.93,1567412829.90625
-55.68,1567412829.921875
-58.44,1567412829.9375
-61.86,1567412829.953125
-66.51,1567412829.96875
-72.63,1567412829.984375
-79.76,1567412830.0
-86.7,1567412830.015625
-91.62,1567412830.03125
-92.58,1567412830.046875
-88.19,1567412830.0625
-78.17,1567412830.078125
-63.52,1567412830.09375
-46.15,1567412830.109375
-28.31,1567412830.125
-11.87,1567412830.140625
2.06,1567412830.15625
13.1,1567412830.171875
21.38,1567412830.1875
27.16,1567412830.203125
30.71,1567412830.21875
32.29,1567412830.234375
32.31,1567412830.25
31.39,1567412830.265625
30.28,1567412830.28125
29.74,1567412830.296875
30.27,1567412830.3125
32.02,1567412830.328125
34.71,1567412830.34375
37.76,1567412830.359375
40.48,1567412830.375
42.24,1567412830.390625
42.69,1567412830.40625
41.82,1567412830.421875
39.85,1567412830.4375
37.13,1567412830.453125
33.98,1567412830.46875
30.54,1567412830.484375
26.75,1567412830.5
22.44,1567412830.515625
17.49,1567412830.53125
12.02,1567412830.546875
6.37,1567412830.5625
1.07,1567412830.578125
-3.36,1567412830.59375
-6.68,1567412830.609375
-9.06,1567412830.625
-11.01,1567412830.640625
-13.28,1567412830.65625
-16.6,1567412830.671875
-21.49,1567412830.6875
-28.07,1567412830.703125
-36.01,1567412830.71875
-44.46,1567412830.734375
-52.1,1567412830.75
-57.33,1567412830.765625
-58.57,1567412830.78125
-54.74,1567412830.796875
-45.55,1567412830.8125
-31.64,1567412830.828125
-14.34,1567412830.84375
4.76,1567412830.859375
24.12,1567412830.875
42.58,1567412830.890625
59.25,1567412830.90625
73.39,1567412830.921875
84.3,1567412830.9375
91.33,1567412830.953125
94.14,1567412830.96875
93.01,1567412830.984375
88.97,1567412831.0
83.71,1567412831.015625
79.26,1567412831.03125
77.38,1567412831.046875
79.11,1567412831.0625
84.54,1567412831.078125
92.89,1567412831.09375
102.9,1567412831.109375
113.21,1567412831.125
122.62,1567412831.140625
130.07,1567412831.15625
134.52,1567412831.171875
134.82,1567412831.1875
130.0,1567412831.203125
119.61,1567412831.21875
104.17,1567412831.234375
85.19,1567412831.25
64.88,1567412831.265625
45.46,1567412831.28125
28.6,1567412831.296875
14.97,1567412831.3125
4.31,1567412831.328125
-4.33,1567412831.34375
-12.08,1567412831.359375
-20.07,1567412831.375
-29.13,1567412831.390625
-39.74,1567412831.40625
-51.99,1567412831.421875
-65.56,1567412831.4375
-79.63,1567412831.453125
-92.98,1567412831.46875
-104.12,1567412831.484375
-111.6,1567412831.5
-114.45,1567412831.515625
-112.47,1567412831.53125
-106.44,1567412831.546875
-97.94,1567412831.5625
-88.89,1567412831.578125
-80.97,1567412831.59375
-75.07,1567412831.609375
-71.12,1567412831.625
-68.36,1567412831.640625
-65.87,1567412831.65625
-63.13,1567412831.671875
-60.28,1567412831.6875
-57.99,1567412831.703125
-56.98,1567412831.71875
-57.57,1567412831.734375
-59.36,1567412831.75
-61.43,1567412831.765625
-62.62,1567412831.78125
-62.06,1567412831.796875
-59.46,1567412831.8125
-55.19,1567412831.828125
-50.04,1567412831.84375
-44.86,1567412831.859375
-40.3,1567412831.875
-36.61,1567412831.890625
-33.72,1567412831.90625
-31.42,1567412831.921875
-29.65,1567412831.9375
-28.59,1567412831.953125
-28.64,1567412831.96875
-30.16,1567412831.984375
-33.2,1567412832.0
-37.38,1567412832.015625
-42.02,1567412832.03125
-46.47,1567412832.046875
-50.46,1567412832.0625
-54.09,1567412832.078125
-57.64,1567412832.09375
-61.18,1567412832.109375
-64.28,1567412832.125
-66.18,1567412832.140625
-66.17,1567412832.15625
-64.03,1567412832.171875
-60.15,1567412832.1875
-55.23,1567412832.203125
-49.83,1567412832.21875
-43.99,1567412832.234375
-37.28,1567412832.25
-29.14,1567412832.265625
-19.39,1567412832.28125
-8.46,1567412832.296875
2.71,1567412832.3125
13.07,1567412832.328125
21.95,1567412832.34375
29.2,1567412832.359375
35.16,1567412832.375
40.19,1567412832.390625
44.4,1567412832.40625
47.48,1567412832.421875
48.84,1567412832.4375
48.02,1567412832.453125
45.04,1567412832.46875
40.52,1567412832.484375
35.56,1567412832.5
31.31,1567412832.515625
28.45,1567412832.53125
27.03,1567412832.546875
26.47,1567412832.5625
25.9,1567412832.578125
24.55,1567412832.59375
22.06,1567412832.609375
18.42,1567412832.625
13.82,1567412832.640625
8.44,1567412832.65625
2.29,1567412832.671875
-4.76,1567412832.6875
-12.78,1567412832.703125
-21.73,1567412832.71875
-31.36,1567412832.734375
-41.31,1567412832.75
-51.17,1567412832.765625
-60.61,1567412832.78125
-69.41,1567412832.796875
-77.53,1567412832.8125
-85.24,1567412832.828125
-93.12,1567412832.84375
-101.95,1567412832.859375
-112.54,1567412832.875
-125.31,1567412832.890625
-139.96,1567412832.90625
-155.36,1567412832.921875
-169.75,1567412832.9375
-181.2,1567412832.953125
-188.23,1567412832.96875
-190.22,1567412832.984375
-187.74,1567412833.0
-182.37,1567412833.015625
-176.34,1567412833.03125
-171.82,1567412833.046875
-170.24,1567412833.0625
-171.71,1567412833.078125
-175.02,1567412833.09375
-178.16,1567412833.109375
-179.13,1567412833.125
-176.91,1567412833.140625
