text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,blue,0,7,1,3,2000
yellow,red,0,4,1,1,1371
red,red,1,8,1,1,1062
red,yellow,0,5,4,1,1253
red,blue,0,7,3,1,1477
yellow,green,0,2,2,1,1009
blue,yellow,0,13,4,1,1193
blue,green,0,14,3,2,1790
red,green,0,6,2,1,754
green,yellow,0,9,4,1,817
yellow,yellow,1,1,4,1,614
yellow,yellow,1,1,4,1,470
blue,blue,1,15,1,3,2000
yellow,green,0,2,2,1,1319
red,blue,0,7,2,2,1534
blue,green,0,14,2,1,1126
yellow,green,0,2,2,1,1146
blue,blue,1,15,3,1,1162
red,yellow,0,5,4,1,1172
red,yellow,0,5,4,1,943
blue,green,0,14,2,1,976
green,green,1,10,2,1,915
green,yellow,0,9,4,1,972
green,blue,0,11,3,1,503
blue,green,0,14,2,1,1041
red,yellow,0,5,4,1,956
red,yellow,0,5,4,1,741
red,blue,0,7,3,1,1041
red,yellow,0,5,4,1,900
yellow,red,0,4,1,1,1051
yellow,blue,0,3,3,1,1272
green,red,0,12,1,1,1598
yellow,green,0,2,2,1,1031
yellow,red,0,4,1,1,1528
blue,red,0,16,1,1,738
blue,yellow,0,13,4,1,943
green,blue,0,11,2,2,1107
green,yellow,0,9,4,1,873
red,green,0,6,2,1,1428
red,blue,0,7,3,1,887
green,yellow,0,9,4,1,995
blue,blue,1,15,3,1,1126
red,green,0,6,2,1,1473
blue,yellow,0,13,4,1,858
blue,red,0,16,1,1,1046
green,green,1,10,2,1,1383
blue,yellow,0,13,4,1,911
yellow,red,0,4,1,1,1035
blue,green,0,14,2,1,1005
blue,yellow,0,13,4,1,788
green,green,1,10,2,1,1113
green,green,1,10,2,1,710
blue,red,0,16,1,1,820
yellow,yellow,1,1,4,1,854
yellow,green,0,2,2,1,930
yellow,blue,0,3,3,1,619
red,red,1,8,1,1,1047
red,red,1,8,1,1,638
blue,red,0,16,1,1,626
blue,blue,1,15,2,2,1302
green,green,1,10,2,1,851
yellow,yellow,1,1,4,1,818
green,yellow,0,9,4,1,1047
blue,green,0,14,2,1,1037
green,red,0,12,1,1,909
red,green,0,6,2,1,1166
yellow,yellow,1,1,4,1,877
green,red,0,12,1,1,1237
yellow,red,0,4,1,1,757
green,yellow,0,9,3,2,1234
red,red,1,8,1,1,1157
yellow,yellow,1,1,4,1,947
blue,green,0,14,2,1,1237
red,green,0,6,2,1,1074
yellow,green,0,2,2,1,764
green,red,0,12,1,1,1132
red,green,0,6,2,1,1265
blue,yellow,0,13,4,1,958
green,green,1,10,2,1,879
green,blue,0,11,3,1,1308
yellow,blue,0,3,3,1,588
green,red,0,12,1,1,1140
blue,green,0,14,2,1,1272
yellow,blue,0,3,3,1,1408
blue,red,0,16,1,1,1473
yellow,blue,0,3,3,1,1184
yellow,green,0,2,4,2,928
yellow,blue,0,3,2,2,1112
green,blue,0,11,3,1,1133
red,red,1,8,1,1,986
yellow,red,0,4,1,1,1074
yellow,yellow,1,1,4,1,956
green,blue,0,11,2,2,1097
yellow,green,0,2,2,1,1343
blue,red,0,16,1,1,1002
green,green,1,10,2,1,1015
blue,blue,1,15,3,1,1243
green,yellow,0,9,4,1,1289
green,red,0,12,1,1,1371
blue,blue,1,15,3,1,1220
yellow,yellow,1,1,4,1,928
red,yellow,0,5,4,1,1041
yellow,blue,0,3,3,1,1265
red,blue,0,7,3,1,717
blue,blue,1,15,3,1,611
green,blue,0,11,3,1,552
green,red,0,12,1,1,1253
blue,blue,1,15,3,1,942
red,blue,0,7,3,1,437
green,blue,0,11,3,1,508
red,red,1,8,1,1,1142
red,green,0,6,4,2,1368
red,red,1,8,1,1,967
blue,red,0,16,1,1,745
red,yellow,0,5,4,1,1892
red,blue,0,7,3,1,1138
red,red,1,8,1,1,979
yellow,red,0,4,1,1,1293
green,red,0,12,1,1,555
yellow,red,0,4,1,1,489
